No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	MI3 value
568	bene	8253	29.932	19	15	7.84
569	assumo	4097	14.859	15	11	7.827
570	certe	3334	12.092	14	12	7.826
571	studium	4111	14.91	15	13	7.822
572	congrego	3349	12.146	14	14	7.82
573	pagina	1627	5.901	11	10	7.817
574	omitto	893	3.239	9	8	7.814
575	uenerabilis	4191	15.2	15	14	7.795
576	martyr	7254	26.309	18	17	7.792
577	defero	2734	9.916	13	10	7.792
578	exeo	4226	15.327	15	12	7.783
579	indo	275	0.997	6	5	7.759
580	regula1	4311	15.635	15	12	7.754
581	nisi	22453	81.434	26	24	7.754
582	quadraginta	1702	6.173	11	9	7.752
583	latinus	937	3.398	9	9	7.745
584	scientia	5333	19.342	16	15	7.726
585	ueritas	13939	50.555	22	16	7.719
586	uestimentum	2281	8.273	12	11	7.707
587	origo	1323	4.798	10	10	7.703
588	nusquam	679	2.463	8	7	7.7
589	tabernaculum	2916	10.576	13	6	7.699
590	editio	686	2.488	8	7	7.685
591	debitum	1358	4.925	10	6	7.666
592	examplum	6710	24.336	17	13	7.657
593	dextera	3030	10.989	13	6	7.643
594	theologia	298	1.081	6	3	7.643
595	inchoo	1018	3.692	9	8	7.625
596	pando1	479	1.737	7	6	7.625
597	meus	41617	150.939	31	22	7.625
598	studeo	3844	13.942	14	13	7.621
599	inquio	15058	54.613	22	17	7.607
600	scriptum	1427	5.176	10	10	7.594
601	legens	492	1.784	7	7	7.587
602	collatio	313	1.135	6	5	7.572
603	paganus	1472	5.339	10	9	7.549
604	quisque	7232	26.229	17	16	7.549
605	superius	3237	11.74	13	12	7.548
606	thesaurus	1965	7.127	11	8	7.545
607	reliquus	5021	18.21	15	12	7.534
608	sedecim	187	0.678	5	3	7.526
609	offero	7405	26.857	17	16	7.515
610	prenoto	189	0.686	5	5	7.511
611	elogium	190	0.689	5	5	7.503
612	dico1	14166	51.378	21	17	7.494
613	numero1	789	2.862	8	8	7.483
614	comprobo	1126	4.084	9	9	7.48
615	uelut2	5228	18.961	15	13	7.476
616	uirginitas	798	2.894	8	5	7.467
617	preter	2710	9.829	12	12	7.458
618	triginta	1575	5.712	10	10	7.452
619	recenseo	341	1.237	6	5	7.448
620	indico1	2105	7.635	11	11	7.446
621	recedo	3535	12.821	13	12	7.421
622	expando2	351	1.273	6	3	7.407
623	tronus	1193	4.327	9	9	7.396
624	consto	3616	13.115	13	13	7.388
625	dimitto	5627	20.408	15	13	7.37
626	concludo	1222	4.432	9	7	7.362
627	preterea	1228	4.454	9	8	7.355
628	quamuis	4631	16.796	14	11	7.352
629	scio	13520	49.035	20	19	7.35
630	peccatum	26411	95.789	25	23	7.35
631	multiplex	1235	4.479	9	9	7.347
632	dum	18066	65.523	22	19	7.344
633	templum	6987	25.341	16	9	7.337
634	incarnatio	2283	8.28	11	10	7.329
635	philosophus1	217	0.787	5	5	7.311
636	uas2	2311	8.382	11	10	7.311
637	abbas	7157	25.957	16	14	7.302
638	9	1756	6.369	10	10	7.295
639	18	904	3.279	8	7	7.287
640	hereticus2	3927	14.243	13	11	7.269
641	donum	4909	17.804	14	9	7.268
642	secularis1	2410	8.741	11	10	7.251
643	marca2	1320	4.787	9	8	7.251
644	ibi	10625	38.535	18	17	7.242
645	exsisto	6201	22.49	15	13	7.229
646	transfero	2451	8.889	11	10	7.226
647	latus1	1346	4.882	9	9	7.222
648	tracto	1848	6.702	10	6	7.221
649	desidero	3198	11.599	12	11	7.219
650	claudo	1350	4.896	9	8	7.218
651	narratio	638	2.314	7	7	7.212
652	flagito	402	1.458	6	5	7.211
653	cognosco	10858	39.38	18	16	7.21
654	nosco	9229	33.472	17	16	7.197
655	gens	13090	47.476	19	12	7.175
656	interpretor	5357	19.429	14	12	7.142
657	octauum2	1007	3.652	8	8	7.131
658	libellus	1438	5.215	9	9	7.127
659	scruto	677	2.455	7	7	7.126
660	quero	8096	29.363	16	13	7.124
661	uarius1	2638	9.568	11	11	7.12
662	repetitio	249	0.903	5	4	7.113
663	felix	2663	9.658	11	9	7.107
664	conficio	1462	5.303	9	8	7.103
665	historicus1	253	0.918	5	5	7.09
666	copiosus	696	2.524	7	5	7.086
667	tabula	1046	3.794	8	7	7.076
668	relego1	443	1.607	6	6	7.071
669	frater	19042	69.063	21	17	7.067
670	propono	2062	7.479	10	7	7.063
671	censeo	1504	5.455	9	7	7.062
672	uulgo2	258	0.936	5	4	7.062
673	penuria	258	0.936	5	4	7.062
674	32	260	0.943	5	3	7.05
675	multoties	261	0.947	5	3	7.045
676	breuitas	454	1.647	6	6	7.035
677	subsequor	1534	5.564	9	8	7.034
678	decerno	3657	13.263	12	9	7.026
679	constituo	8682	31.488	16	15	7.023
680	inuentio	266	0.965	5	5	7.018
681	notitia	1560	5.658	9	8	7.01
682	auris	3705	13.438	12	12	7.007
683	celum	17298	62.737	20	15	6.995
684	disciplina	2928	10.619	11	10	6.97
685	exprimo	2201	7.983	10	8	6.969
686	iudicium	15105	54.784	19	19	6.968
687	quattuordecim	277	1.005	5	4	6.959
688	20	764	2.771	7	5	6.952
689	ecce	7576	27.477	15	12	6.941
690	legalis	771	2.796	7	6	6.939
691	complecto	487	1.766	6	4	6.934
692	ultimus	1647	5.973	9	6	6.931
693	quare	3911	14.185	12	10	6.929
694	spiritalis	7657	27.771	15	12	6.925
695	arbitrium	2270	8.233	10	9	6.924
696	en	491	1.781	6	5	6.922
697	uos	35822	129.921	25	21	6.91
698	custos	1686	6.115	9	3	6.897
699	obscurus	803	2.912	7	7	6.88
700	quotienscumque	293	1.063	5	5	6.878
701	edoceo	804	2.916	7	6	6.878
702	emendo	1716	6.224	9	8	6.872
703	licet	5198	18.852	13	13	6.865
704	condio	1216	4.41	8	8	6.859
705	utor	3164	11.475	11	10	6.858
706	agon	514	1.864	6	5	6.856
707	edo1	6571	23.832	14	12	6.847
708	porro	2399	8.701	10	9	6.845
709	relinquo	6672	24.198	14	14	6.825
710	insignis	836	3.032	7	6	6.822
711	cura	4219	15.302	12	10	6.819
712	dispositio	1251	4.537	8	4	6.818
713	cunctus	10019	36.337	16	13	6.817
714	anterior	306	1.11	5	5	6.815
715	translatio	840	3.047	7	6	6.815
716	prudenter	530	1.922	6	5	6.812
717	subiungo	2534	9.19	10	9	6.766
718	quisquis1	7132	25.867	14	13	6.729
719	prout	1383	5.016	8	8	6.673
720	adicio	1383	5.016	8	6	6.673
721	plus2	927	3.362	7	7	6.673
722	ualeo	9178	33.287	15	13	6.664
723	quantus	4715	17.101	12	12	6.659
724	credo2	21895	79.41	20	16	6.655
725	pastor	3648	13.231	11	10	6.652
726	contemptor	343	1.244	5	2	6.651
727	stilus	593	2.151	6	6	6.65
728	adiutorium	1440	5.223	8	7	6.615
729	prescientia	969	3.514	7	5	6.609
730	nepos	973	3.529	7	5	6.603
731	figurate	355	1.288	5	3	6.601
732	creber	619	2.245	6	5	6.588
733	usus	3832	13.898	11	10	6.581
734	redeo	5029	18.239	12	11	6.566
735	solido	365	1.324	5	3	6.561
736	pluralis	369	1.338	5	4	6.545
737	decalogus	377	1.367	5	4	6.514
738	siquidem	3033	11	10	8	6.506
739	partio1	380	1.378	5	5	6.503
740	presbyter	8350	30.284	14	13	6.502
741	lingua	5301	19.226	12	12	6.49
742	26	385	1.396	5	4	6.484
743	angelus	8495	30.81	14	8	6.477
744	tantus	12693	46.036	16	14	6.475
745	saltem	1600	5.803	8	8	6.463
746	peto	6871	24.92	13	12	6.462
747	medion	3146	11.41	10	10	6.454
748	sex	2330	8.451	9	6	6.431
749	magis	8839	32.058	14	14	6.419
750	approbo	1107	4.015	7	7	6.417
751	leo	4300	15.596	11	8	6.415
752	confero	4308	15.625	11	10	6.413
753	subdiaconus	405	1.469	5	3	6.411
754	perfectio	2371	8.599	9	7	6.406
755	nihil	13404	48.614	16	15	6.397
756	discutio	1125	4.08	7	6	6.393
757	tot	1684	6.108	8	6	6.389
758	ratio	9036	32.772	14	12	6.388
759	episcopatus	1692	6.137	8	7	6.383
760	sensum	2419	8.773	9	9	6.377
761	persona	7304	26.491	13	10	6.374
762	magnitudo	1705	6.184	8	7	6.372
763	grece	1158	4.2	7	5	6.352
764	collectio	423	1.534	5	5	6.348
765	reuoluo	427	1.549	5	5	6.335
766	differentia	1173	4.254	7	7	6.333
767	relego2	428	1.552	5	5	6.331
768	documentum	740	2.684	6	6	6.331
769	indicium	1176	4.265	7	7	6.329
770	mirabilis	1182	4.287	7	6	6.322
771	misa	3456	12.534	10	9	6.318
772	postmodo	1777	6.445	8	7	6.312
773	presumo	4746	17.213	11	9	6.273
774	compleo	2602	9.437	9	9	6.271
775	postulo	2606	9.452	9	6	6.269
776	ethereus	449	1.629	5	1	6.262
777	nempe	785	2.847	6	6	6.245
778	precedo	2652	9.618	9	8	6.244
779	archiepiscopus	3644	13.216	10	10	6.242
780	paradisus	1879	6.815	8	4	6.231
781	coram2	4891	17.739	11	10	6.229
782	synodalis1	460	1.668	5	3	6.227
783	numquam	4938	17.909	11	10	6.216
784	labor2	4996	18.12	11	11	6.199
785	mallus1	8278	30.023	13	10	6.193
786	numquid	2751	9.978	9	8	6.191
787	utique	5038	18.272	11	10	6.187
788	ignis	8316	30.161	13	13	6.187
789	at	3787	13.735	10	7	6.186
790	pereo	5041	18.283	11	8	6.186
791	longe	3815	13.836	10	9	6.175
792	dignus	8471	30.723	13	11	6.16
793	pertineo	6671	24.195	12	11	6.158
794	plenus	5158	18.707	11	11	6.153
795	moueo	3885	14.09	10	5	6.149
796	considero	2835	10.282	9	7	6.148
797	reddo	8605	31.209	13	10	6.137
798	ornamentum	854	3.097	6	5	6.124
799	pateo	2889	10.478	9	9	6.12
800	typus	863	3.13	6	6	6.109
801	ingenium	1372	4.976	7	5	6.107
802	lux	6916	25.083	12	11	6.106
803	cano	1386	5.027	7	7	6.092
804	quinquaginta	873	3.166	6	6	6.092
805	supra1	2964	10.75	9	9	6.084
806	aptus	1413	5.125	7	7	6.065
807	uester	24118	87.472	18	15	6.059
808	presto2	3023	10.964	9	9	6.055
809	similis	5541	20.096	11	7	6.049
810	denarius2	900	3.264	6	4	6.048
811	consolatio	1431	5.19	7	6	6.046
812	occurro	2152	7.805	8	7	6.036
813	persus	526	1.908	5	5	6.034
814	procedo	4218	15.298	10	5	6.031
815	uirtus	20802	75.446	17	16	6.025
816	orthodoxus	915	3.319	6	5	6.024
817	saluator	5664	20.543	11	8	6.018
818	materia1	1460	5.295	7	5	6.017
819	quantum	5680	20.601	11	10	6.014
820	studiosus1	922	3.344	6	6	6.013
821	adhuc	7383	26.777	12	12	6.012
822	abscondo	2190	7.943	8	8	6.01
823	eruditio	536	1.944	5	5	6.007
824	cito2	539	1.955	5	4	5.999
825	ideo	14608	52.981	15	15	5.993
826	pulcher	1486	5.39	7	7	5.992
827	necnon	1487	5.393	7	7	5.991
828	uocatio	938	3.402	6	3	5.989
829	uestis	2231	8.092	8	7	5.984
830	retineo	2244	8.139	8	8	5.975
831	excedo	947	3.435	6	6	5.975
832	monstro	2257	8.186	8	7	5.967
833	diabolus	7654	27.76	12	11	5.96
834	nequaquam	3283	11.907	9	9	5.936
835	breuis1	1545	5.604	7	7	5.936
836	confirmo	4512	16.364	10	10	5.933
837	instrumentum	566	2.053	5	5	5.928
838	recondo	566	2.053	5	5	5.928
839	predico1	7881	28.583	12	11	5.918
840	cultus2	2356	8.545	8	8	5.905
841	natiuitas	2360	8.559	8	8	5.902
842	conditor	1584	5.745	7	7	5.9
843	appareo	6162	22.349	11	11	5.896
844	transmitto	1001	3.631	6	6	5.895
845	testa	1003	3.638	6	5	5.892
846	deuoro	1004	3.641	6	5	5.89
847	ieiunium	2383	8.643	8	7	5.889
848	augeo	1598	5.796	7	6	5.887
849	ago	19103	69.284	16	15	5.886
850	floreo	1019	3.696	6	6	5.869
851	diuido	3443	12.487	9	8	5.867
852	utilis	1632	5.919	7	7	5.857
853	facile	2448	8.879	8	8	5.85
854	dogma	1640	5.948	7	6	5.85
855	permaneo	4808	17.438	10	8	5.842
856	modo2	10590	38.408	13	12	5.838
857	humanus1	10590	38.408	13	11	5.838
858	patriarcha	2486	9.016	8	7	5.827
859	eloquium	2486	9.016	8	8	5.827
860	conscientia	2496	9.053	8	8	5.822
861	hostis	6567	23.818	11	10	5.804
862	curo	3637	13.191	9	8	5.788
863	magister2	3647	13.227	9	9	5.784
864	aurum	2563	9.296	8	8	5.783
865	commendo	3669	13.307	9	9	5.776
866	penite	2590	9.394	8	8	5.768
867	nimirum	2607	9.455	8	8	5.759
868	arbitror	1750	6.347	7	7	5.756
869	uisio	2627	9.528	8	6	5.748
870	capio1	5156	18.7	10	9	5.741
871	tango	2645	9.593	8	8	5.738
872	ceterum	1120	4.062	6	6	5.733
873	episcopalis	1126	4.084	6	5	5.725
874	uix	1790	6.492	7	7	5.723
875	hora	11585	42.017	13	12	5.708
876	pronuntio	1150	4.171	6	6	5.695
877	condicio	1847	6.699	7	7	5.678
878	casa	14857	53.884	14	12	5.67
879	terra	26620	96.547	17	12	5.669
880	diaconus	3974	14.413	9	7	5.66
881	tollo	2793	10.13	8	5	5.659
882	reseruo	1179	4.276	6	6	5.659
883	colloco	1182	4.287	6	4	5.655
884	mundus2	15073	54.668	14	13	5.649
885	seruo	7349	26.654	11	10	5.642
886	custodio2	4080	14.798	9	8	5.622
887	perspicio	704	2.553	5	4	5.613
888	postquam	4115	14.925	9	9	5.61
889	solidus2	706	2.561	5	5	5.609
890	aduocatus	710	2.575	5	3	5.601
891	reuera	711	2.579	5	5	5.599
892	recito	711	2.579	5	5	5.599
893	sufficio	2918	10.583	8	8	5.596
894	figura	2940	10.663	8	7	5.585
895	charta	720	2.611	5	4	5.581
896	decretum	2986	10.83	8	3	5.563
897	oraculum	731	2.651	5	5	5.559
898	rectus	7826	28.384	11	9	5.551
899	redemptor	2043	7.41	7	5	5.533
900	huiusmodi	4354	15.791	9	9	5.529
901	quondam	2085	7.562	7	7	5.503
902	edificatio	764	2.771	5	1	5.495
903	lucus1	1321	4.791	6	4	5.495
904	coniungo	2118	7.682	7	7	5.481
905	hactenus	1334	4.838	6	6	5.48
906	seculum	10696	38.793	12	12	5.477
907	porrigo1	778	2.822	5	5	5.469
908	augustus1	3199	11.602	8	8	5.464
909	profecto	2155	7.816	7	7	5.456
910	uenerandus	1363	4.943	6	5	5.449
911	sacro	789	2.862	5	5	5.449
912	olim	2184	7.921	7	7	5.436
913	ianuarius	796	2.887	5	4	5.436
914	soleo	4683	16.985	9	9	5.424
915	falsus	3326	12.063	8	7	5.407
916	argumentum	1407	5.103	6	6	5.404
917	quapropter	2248	8.153	7	6	5.395
918	industria	821	2.978	5	5	5.392
919	paruus	6579	23.861	10	10	5.389
920	uenio	11378	41.266	12	9	5.388
921	efficio	3399	12.328	8	8	5.376
922	solummodo	1434	5.201	6	5	5.376
923	computo	842	3.054	5	5	5.355
924	lateo	1456	5.281	6	6	5.354
925	unusquisque	6766	24.539	10	10	5.349
926	congruus	1478	5.361	6	6	5.333
927	arca	2348	8.516	7	7	5.332
928	dictum	3527	12.792	8	8	5.323
929	error	5140	18.642	9	9	5.289
930	uirgo	7058	25.598	10	10	5.288
931	nobilis	2434	8.828	7	7	5.28
932	ubicumque	895	3.246	5	5	5.267
933	tandem	2476	8.98	7	5	5.255
934	modus	5285	19.168	9	9	5.249
935	eternus	16006	58.051	13	13	5.242
936	deinde	5323	19.306	9	9	5.239
937	repeto	1585	5.749	6	6	5.232
938	dubito	2518	9.132	7	7	5.231
939	orno	1621	5.879	6	6	5.199
940	uanitas	959	3.478	5	4	5.167
941	gero	5597	20.3	9	9	5.166
942	excipio	1684	6.108	6	6	5.144
943	paruulus2	990	3.591	5	5	5.122
944	fere	991	3.594	5	5	5.12
945	permitto	4066	14.747	8	8	5.118
946	consedeo	1723	6.249	6	5	5.111
947	haud	998	3.62	5	5	5.11
948	expedio	1001	3.631	5	5	5.106
949	creatura	4120	14.943	8	7	5.099
950	insinuo	1739	6.307	6	6	5.098
951	consummo	1759	6.38	6	6	5.081
952	alibi	2804	10.17	7	7	5.076
953	queo	1026	3.721	5	4	5.07
954	impleo	6026	21.855	9	9	5.06
955	uocabulum	1799	6.525	6	6	5.049
956	rite	1043	3.783	5	4	5.046
957	medicus2	1043	3.783	5	5	5.046
958	predicatio	4273	15.498	8	6	5.046
959	congruo	1071	3.884	5	5	5.008
960	ueneo	18864	68.417	13	10	5.005
961	columna	1084	3.932	5	4	4.991
962	clarus	2977	10.797	7	7	4.989
963	quodammodo	1085	3.935	5	4	4.989
964	comes	4465	16.194	8	6	4.983
965	exilium	1097	3.979	5	4	4.974
966	difficilis	1097	3.979	5	5	4.974
967	decurro	1098	3.982	5	5	4.972
968	miro	1905	6.909	6	6	4.966
969	extremus	1915	6.945	6	6	4.959
970	spiro	1127	4.088	5	5	4.935
971	mulier	6577	23.854	9	8	4.934
972	propterea	3112	11.287	7	7	4.926
973	cupio	3148	11.417	7	7	4.909
974	canonicus1	1154	4.185	5	4	4.9
975	proinde	1159	4.204	5	5	4.894
976	differo	2004	7.268	6	6	4.893
977	hereo	1183	4.291	5	5	4.865
978	principatus	1194	4.331	5	2	4.851
979	medium	1199	4.349	5	5	4.845
980	puto	7002	25.395	9	9	4.843
981	propheto	1207	4.378	5	5	4.836
982	percutio	3314	12.019	7	5	4.835
983	passio	7106	25.772	9	8	4.822
984	mereo1	3403	12.342	7	7	4.797
985	exinde	1244	4.512	5	5	4.792
986	consensus	2152	7.805	6	6	4.79
987	unitas	3431	12.444	7	6	4.785
988	undique	1251	4.537	5	4	4.784
989	circa2	3449	12.509	7	7	4.777
990	eligo	7355	26.676	9	8	4.772
991	100	3493	12.669	7	7	4.759
992	clericus2	5231	18.972	8	7	4.754
993	uerum1	7601	27.568	9	8	4.725
994	conuenio	5358	19.433	8	8	4.72
995	nitor1	1313	4.762	5	5	4.714
996	urbs	7688	27.883	9	9	4.708
997	tego	1320	4.787	5	5	4.707
998	panis	5422	19.665	8	8	4.702
999	imago	5453	19.777	8	4	4.694
1000	animus	7777	28.206	9	9	4.692
1001	sto	5540	20.093	8	8	4.671
1002	continuo1	1367	4.958	5	4	4.656
1003	hodie	2363	8.57	6	5	4.656
1004	tamquam	5612	20.354	8	7	4.653
1005	uox	10981	39.827	10	9	4.65
1006	pius	8035	29.142	9	9	4.645
1007	transeo	5664	20.543	8	7	4.639
1008	querio	3799	13.778	7	7	4.638
1009	designo	3799	13.778	7	7	4.638
1010	fors	5763	20.902	8	7	4.614
1011	dominicus1	5771	20.931	8	5	4.612
1012	securus	1425	5.168	5	5	4.596
1013	puer	3939	14.286	7	7	4.586
1014	nuncupo	1437	5.212	5	4	4.584
1015	filia	3952	14.333	7	4	4.581
1016	struo	2489	9.027	6	6	4.581
1017	accedo	3956	14.348	7	6	4.579
1018	indigeo	1443	5.234	5	5	4.578
1019	antea	1450	5.259	5	5	4.571
1020	reprehendo	1473	5.342	5	5	4.548
1021	lapis	4057	14.714	7	5	4.543
1022	moneo	2562	9.292	6	5	4.539
1023	uxor	6105	22.142	8	8	4.531
1024	separo	2582	9.365	6	4	4.528
1025	perpetuus	4114	14.921	7	7	4.523
1026	adhereo	1505	5.458	5	5	4.517
1027	etenim	2603	9.441	6	6	4.516
1028	sono	1514	5.491	5	5	4.509
1029	adiungo	1545	5.604	5	5	4.479
1030	descendo	4258	15.443	7	6	4.473
1031	liceo	4265	15.469	7	7	4.471
1032	adeo1	1586	5.752	5	5	4.442
1033	rogo	4419	16.027	7	7	4.42
1034	diu	2832	10.271	6	6	4.394
1035	testis	2836	10.286	6	6	4.392
1036	prauus	2846	10.322	6	6	4.387
1037	peruenio	6747	24.47	8	7	4.387
1038	adhibeo	1665	6.039	5	5	4.372
1039	addo	4603	16.694	7	6	4.361
1040	celebro	4605	16.702	7	7	4.36
1041	foris1	1679	6.09	5	5	4.359
1042	contendo	1681	6.097	5	5	4.358
1043	potestas	9926	36	9	8	4.34
1044	ueraciter	1702	6.173	5	5	4.34
1045	ipse1	9945	36.069	9	9	4.337
1046	insuper1	1715	6.22	5	5	4.329
1047	rector	1719	6.235	5	5	4.325
1048	pondus	1722	6.245	5	4	4.323
1049	idolum	2982	10.815	6	6	4.32
1050	monasterium	10117	36.693	9	8	4.312
1051	subicio	3002	10.888	6	6	4.31
1052	femen	1741	6.314	5	5	4.307
1053	nolo	10171	36.889	9	7	4.305
1054	consentio	3040	11.026	6	4	4.292
1055	suscipio	10308	37.386	9	9	4.285
1056	notus	1790	6.492	5	5	4.267
1057	pariter	3123	11.327	6	6	4.253
1058	ualde	3126	11.338	6	6	4.252
1059	uniuersalis	1824	6.615	5	4	4.24
1060	aufero	5062	18.359	7	7	4.224
1061	appeto	1859	6.742	5	5	4.213
1062	doleo	1861	6.75	5	4	4.211
1063	intellectus	3313	12.016	6	5	4.168
1064	contrarius	3386	12.281	6	6	4.137
1065	crimen	3459	12.545	6	6	4.106
1066	precapio	3522	12.774	6	5	4.08
1067	sapiens	3554	12.89	6	6	4.067
1068	aduentus	3564	12.926	6	6	4.063
1069	publicus1	3571	12.952	6	6	4.06
1070	necessarius1	3575	12.966	6	6	4.058
1071	taceo	2071	7.511	5	4	4.057
1072	bonum	2097	7.606	5	5	4.039
1073	colo2	2118	7.682	5	4	4.024
1074	abeo	2123	7.7	5	4	4.021
1075	prohibeo	3670	13.311	6	6	4.02
1076	minus	3836	13.913	6	6	3.957
1077	qualiter	3848	13.956	6	6	3.952
1078	mensis	6191	22.454	7	6	3.933
1079	caueo	2277	8.258	5	5	3.92
1080	perduco	2286	8.291	5	5	3.914
1081	mora1	3957	14.352	6	6	3.912
1082	extra2	2294	8.32	5	4	3.909
1083	!	3970	14.399	6	6	3.907
1084	species	4029	14.613	6	6	3.886
1085	qualis	4107	14.896	6	6	3.858
1086	deuotio	2396	8.69	5	5	3.846
1087	demon	2421	8.781	5	5	3.831
1088	precipio	4246	15.4	6	5	3.81
1089	mons	6752	24.489	7	7	3.808
1090	conseruo	2483	9.006	5	4	3.795
1091	consequor	2491	9.035	5	5	3.79
1092	preceptum	7062	25.613	7	7	3.743
1093	intentio	2591	9.397	5	3	3.734
1094	impius	4519	16.39	6	6	3.72
1095	discipulus	4540	16.466	6	6	3.713
1096	respicio	2660	9.647	5	4	3.696
1097	longus	2662	9.655	5	5	3.695
1098	melius	2662	9.655	5	4	3.695
1099	pascha	2667	9.673	5	2	3.692
1100	predestino	2670	9.684	5	4	3.69
1101	benedico	4618	16.749	6	6	3.689
1102	mirus	2751	9.978	5	5	3.647
1103	regius	2771	10.05	5	4	3.637
1104	remaneo	2821	10.231	5	4	3.611
1105	duco	7756	28.13	7	7	3.608
1106	statim	2835	10.282	5	5	3.604
1107	culpa	2844	10.315	5	4	3.599
1108	ullus	4970	18.026	6	6	3.583
1109	ob	5009	18.167	6	6	3.572
1110	gradus	2977	10.797	5	5	3.533
1111	sine	17513	63.517	9	8	3.521
1112	amicus2	3053	11.073	5	5	3.497
1113	sol	5333	19.342	6	6	3.481
1114	admoneo	3156	11.446	5	4	3.449
1115	statuo	3172	11.504	5	5	3.442
1116	oporteo	5575	20.22	6	6	3.417
1117	apostolicus	9163	33.233	7	7	3.368
1118	domus	13754	49.884	8	8	3.36
1119	agnosco	3424	12.418	5	4	3.331
1120	oculus	9410	34.129	7	7	3.329
1121	honor	9422	34.172	7	7	3.327
1122	existimo	3501	12.698	5	5	3.299
1123	semper	14444	52.386	8	8	3.289
1124	dolor	3540	12.839	5	5	3.283
1125	placeo	6145	22.287	6	6	3.277
1126	ira	3684	13.361	5	2	3.226
1127	princeps	10481	38.013	7	7	3.174
1128	quisquam	3862	14.007	5	5	3.158
1129	proficio	3874	14.05	5	5	3.153
1130	tribuo	3915	14.199	5	5	3.138
1131	prius	6813	24.71	6	4	3.128
1132	nascor	7022	25.468	6	6	3.084
1133	communis	4075	14.779	5	4	3.08
1134	forma	4151	15.055	5	5	3.054
1135	mox	4291	15.563	5	5	3.006
1136	neco	4303	15.606	5	5	3.002
1137	regno	4305	15.614	5	4	3.001
1138	absque	4330	15.704	5	5	2.993
1139	quatenus	4354	15.791	5	5	2.985
1140	certus	4360	15.813	5	5	2.983
1141	omnino	4403	15.969	5	5	2.969
1142	cado	4445	16.121	5	5	2.955
1143	malus1	7711	27.967	6	6	2.949
1144	fidelis	12503	45.347	7	7	2.919
1145	potius	4633	16.803	5	5	2.895
1146	uniuersi	4770	17.3	5	5	2.853
1147	dux1	4842	17.561	5	5	2.831
1148	concedo	5214	18.91	5	5	2.725
1149	mens	14696	53.3	7	7	2.686
1150	sedes	9426	34.187	6	5	2.66
1151	iudico	9448	34.267	6	6	2.656
1152	pena	5506	19.969	5	5	2.646
1153	ordino	5530	20.057	5	5	2.64
1154	dedo	5825	21.126	5	5	2.565
1155	oro	5945	21.562	5	5	2.535
1156	ius1	6001	21.765	5	5	2.522
1157	cepio	6008	21.79	5	5	2.52
1158	crux	6277	22.766	5	5	2.457
1159	summus	6483	23.513	5	5	2.41
1160	uoluntas	11264	40.853	6	5	2.403
1161	pecco	6588	23.894	5	4	2.387
1162	cor	20900	75.801	7	7	2.178
1163	morior	8639	31.332	5	5	1.996
1164	domina	8868	32.163	5	5	1.958
1165	diligo	9322	33.81	5	5	1.886
1166	futurus	9511	34.495	5	5	1.857
1167	aqua	10006	36.29	5	5	1.784
1168	caritas	10145	36.794	5	3	1.764
1169	caro2	18153	65.838	6	6	1.714
1170	gloria	11706	42.456	5	5	1.558
