No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	T-score value
595	difficilis	1097	3.979	5	5	0.457
596	augeo	1598	5.796	7	6	0.455
597	decurro	1098	3.982	5	5	0.455
598	uarius1	2638	9.568	11	11	0.432
599	uenerandus	1363	4.943	6	5	0.431
600	paradisus	1879	6.815	8	4	0.419
601	porro	2399	8.701	10	9	0.411
602	utilis	1632	5.919	7	7	0.409
603	spiro	1127	4.088	5	5	0.408
604	felix	2663	9.658	11	9	0.405
605	dogma	1640	5.948	7	6	0.398
606	etiam	39518	143.326	148	95	0.384
607	argumentum	1407	5.103	6	6	0.366
608	canonicus1	1154	4.185	5	4	0.364
609	proinde	1159	4.204	5	5	0.356
610	superius	3237	11.74	13	12	0.349
611	solummodo	1434	5.201	6	5	0.326
612	hereo	1183	4.291	5	5	0.317
613	laudo	4595	16.665	18	16	0.315
614	principatus	1194	4.331	5	2	0.299
615	lateo	1456	5.281	6	6	0.294
616	medium	1199	4.349	5	5	0.291
617	propheto	1207	4.378	5	5	0.278
618	mille	3852	13.971	15	12	0.266
619	congruus	1478	5.361	6	6	0.261
620	subiungo	2534	9.19	10	9	0.256
621	arbitror	1750	6.347	7	7	0.247
622	exinde	1244	4.512	5	5	0.218
623	undique	1251	4.537	5	4	0.207
624	uix	1790	6.492	7	7	0.192
625	ordo	10155	36.831	38	29	0.19
626	sex	2330	8.451	9	6	0.183
627	aio	18645	67.623	69	41	0.166
628	perfectio	2371	8.599	9	7	0.134
629	desidero	3198	11.599	12	11	0.116
630	disciplina	2928	10.619	11	10	0.115
631	condicio	1847	6.699	7	7	0.114
632	nitor1	1313	4.762	5	5	0.106
633	repeto	1585	5.749	6	6	0.103
634	tego	1320	4.787	5	5	0.095
635	sensum	2419	8.773	9	9	0.076
636	occurro	2152	7.805	8	7	0.069
637	recedo	3535	12.821	13	12	0.05
638	orno	1621	5.879	6	6	0.049
639	assumo	4097	14.859	15	11	0.036
640	studium	4111	14.91	15	13	0.023
641	abscondo	2190	7.943	8	8	0.02
642	continuo1	1367	4.958	5	4	0.019
643	studeo	3844	13.942	14	13	0.016
644	probo	4948	17.946	18	18	0.013
645	consto	3616	13.115	13	13	-0.032
646	uestis	2231	8.092	8	7	-0.032
647	excipio	1684	6.108	6	6	-0.044
648	retineo	2244	8.139	8	8	-0.049
649	uenerabilis	4191	15.2	15	14	-0.052
650	monstro	2257	8.186	8	7	-0.066
651	securus	1425	5.168	5	5	-0.075
652	exeo	4226	15.327	15	12	-0.084
653	nuncupo	1437	5.212	5	4	-0.095
654	presens	10088	36.588	36	19	-0.098
655	consedeo	1723	6.249	6	5	-0.102
656	indigeo	1443	5.234	5	5	-0.104
657	antea	1450	5.259	5	5	-0.116
658	insinuo	1739	6.307	6	6	-0.125
659	utor	3164	11.475	11	10	-0.143
660	compleo	2602	9.437	9	9	-0.146
661	uiuo	12684	46.003	45	33	-0.15
662	postulo	2606	9.452	9	6	-0.151
663	reprehendo	1473	5.342	5	5	-0.153
664	redemptor	2043	7.41	7	5	-0.155
665	consummo	1759	6.38	6	6	-0.155
666	regula1	4311	15.635	15	12	-0.164
667	cultus2	2356	8.545	8	8	-0.193
668	natiuitas	2360	8.559	8	8	-0.198
669	iuxta1	11099	40.254	39	26	-0.201
670	adhereo	1505	5.458	5	5	-0.205
671	precedo	2652	9.618	9	8	-0.206
672	quondam	2085	7.562	7	7	-0.212
673	uocabulum	1799	6.525	6	6	-0.214
674	sono	1514	5.491	5	5	-0.22
675	ieiunium	2383	8.643	8	7	-0.227
676	coniungo	2118	7.682	7	7	-0.258
677	adiungo	1545	5.604	5	5	-0.27
678	quicumque	9527	34.553	33	22	-0.27
679	imperator	8703	31.565	30	20	-0.286
680	profecto	2155	7.816	7	7	-0.308
681	facile	2448	8.879	8	8	-0.311
682	siquidem	3033	11	10	8	-0.316
683	numquid	2751	9.978	9	8	-0.326
684	concilium	4771	17.304	16	13	-0.326
685	adeo1	1586	5.752	5	5	-0.336
686	hereticus2	3927	14.243	13	11	-0.345
687	olim	2184	7.921	7	7	-0.348
688	itaque	8518	30.894	29	23	-0.352
689	patriarcha	2486	9.016	8	7	-0.359
690	eloquium	2486	9.016	8	8	-0.359
691	opus1	24361	88.354	85	57	-0.364
692	decerno	3657	13.263	12	9	-0.365
693	miro	1905	6.909	6	6	-0.371
694	conscientia	2496	9.053	8	8	-0.372
695	extremus	1915	6.945	6	6	-0.386
696	auris	3705	13.438	12	12	-0.415
697	apud	14047	50.946	48	32	-0.425
698	considero	2835	10.282	9	7	-0.427
699	quapropter	2248	8.153	7	6	-0.436
700	postea	4899	17.768	16	14	-0.442
701	medion	3146	11.41	10	10	-0.446
702	aurum	2563	9.296	8	8	-0.458
703	adhibeo	1665	6.039	5	5	-0.465
704	foris1	1679	6.09	5	5	-0.487
705	contendo	1681	6.097	5	5	-0.49
706	pateo	2889	10.478	9	9	-0.493
707	penite	2590	9.394	8	8	-0.493
708	hic2	9598	34.811	32	27	-0.497
709	mysterium	5257	19.066	17	14	-0.501
710	nimirum	2607	9.455	8	8	-0.514
711	differo	2004	7.268	6	6	-0.518
712	ueraciter	1702	6.173	5	5	-0.525
713	bonus	26208	95.053	90	36	-0.533
714	uisio	2627	9.528	8	6	-0.54
715	insuper1	1715	6.22	5	5	-0.546
716	pars	17433	63.227	59	46	-0.55
717	rector	1719	6.235	5	5	-0.552
718	pondus	1722	6.245	5	4	-0.557
719	fero	7669	27.814	25	19	-0.563
720	tango	2645	9.593	8	8	-0.563
721	arca	2348	8.516	7	7	-0.573
722	supra1	2964	10.75	9	9	-0.583
723	femen	1741	6.314	5	5	-0.588
724	penitentia	8009	29.048	26	14	-0.598
725	teneo	10923	39.616	36	29	-0.603
726	quare	3911	14.185	12	10	-0.631
727	fides	30182	109.466	103	51	-0.637
728	presto2	3023	10.964	9	9	-0.655
729	notus	1790	6.492	5	5	-0.667
730	pastor	3648	13.231	11	10	-0.673
731	nobilis	2434	8.828	7	7	-0.691
732	doceo	10200	36.994	33	28	-0.695
733	uniuersalis	1824	6.615	5	4	-0.722
734	sub	14326	51.958	47	32	-0.723
735	consensus	2152	7.805	6	6	-0.737
736	quamuis	4631	16.796	14	11	-0.747
737	tandem	2476	8.98	7	5	-0.748
738	tollo	2793	10.13	8	5	-0.753
739	quomodo	10295	37.338	33	25	-0.755
740	appeto	1859	6.742	5	5	-0.779
741	doleo	1861	6.75	5	4	-0.782
742	tam	10045	36.432	32	26	-0.783
743	misa	3456	12.534	10	9	-0.801
744	dubito	2518	9.132	7	7	-0.806
745	reliquus	5021	18.21	15	12	-0.829
746	scientia	5333	19.342	16	15	-0.836
747	trado	8965	32.515	28	22	-0.853
748	)	30262	109.756	101	71	-0.871
749	usus	3832	13.898	11	10	-0.874
750	secundum1	20166	73.139	66	50	-0.879
751	sufficio	2918	10.583	8	8	-0.913
752	laus	6034	21.884	18	16	-0.916
753	ut	168062	609.536	587	171	-0.93
754	figura	2940	10.663	8	7	-0.941
755	cura	4219	15.302	12	10	-0.953
756	igitur	11511	41.749	36	27	-0.958
757	locus	27046	98.092	89	60	-0.964
758	nequaquam	3283	11.907	9	9	-0.969
759	decretum	2986	10.83	8	3	-1
760	donum	4909	17.804	14	9	-1.017
761	archiepiscopus	3644	13.216	10	10	-1.017
762	uelut2	5228	18.961	15	13	-1.023
763	auctoritas	8934	32.402	27	25	-1.04
764	hodie	2363	8.57	6	5	-1.049
765	taceo	2071	7.511	5	4	-1.123
766	diuido	3443	12.487	9	8	-1.162
767	natura	10944	39.692	33	17	-1.165
768	bonum	2097	7.606	5	5	-1.165
769	at	3787	13.735	10	7	-1.181
770	uidelicet	10383	37.658	31	22	-1.196
771	alibi	2804	10.17	7	7	-1.198
772	colo2	2118	7.682	5	4	-1.199
773	;	116352	421.992	398	151	-1.203
774	abeo	2123	7.7	5	4	-1.207
775	longe	3815	13.836	10	9	-1.213
776	struo	2489	9.027	6	6	-1.236
777	solus1	8953	32.471	26	24	-1.269
778	augustus1	3199	11.602	8	8	-1.274
779	moueo	3885	14.09	10	5	-1.293
780	sensus	7122	25.83	20	19	-1.304
781	moneo	2562	9.292	6	5	-1.344
782	separo	2582	9.365	6	4	-1.374
783	pontifex	6896	25.011	19	18	-1.379
784	leo	4300	15.596	11	8	-1.386
785	confero	4308	15.625	11	10	-1.394
786	dimitto	5627	20.408	15	13	-1.396
787	curo	3637	13.191	9	8	-1.397
788	etenim	2603	9.441	6	6	-1.405
789	magister2	3647	13.227	9	9	-1.409
790	habeo	59550	215.979	196	111	-1.427
791	clarus	2977	10.797	7	7	-1.435
792	commendo	3669	13.307	9	9	-1.436
793	falsus	3326	12.063	8	7	-1.436
794	interpretor	5357	19.429	14	12	-1.451
795	caueo	2277	8.258	5	5	-1.457
796	nam	23565	85.467	73	45	-1.459
797	paulus	8919	32.348	25	20	-1.47
798	perduco	2286	8.291	5	5	-1.472
799	quantus	4715	17.101	12	12	-1.472
800	iam	20595	74.695	63	47	-1.473
801	apostolus	27482	99.673	86	46	-1.474
802	extra2	2294	8.32	5	4	-1.485
803	nemo	6740	24.445	18	12	-1.519
804	efficio	3399	12.328	8	8	-1.53
805	respondeo	7111	25.791	19	12	-1.558
806	iterum	6856	24.866	18	16	-1.618
807	propterea	3112	11.287	7	7	-1.62
808	licet	5198	18.852	13	13	-1.623
809	deuotio	2396	8.69	5	5	-1.65
810	cupio	3148	11.417	7	7	-1.67
811	procedo	4218	15.298	10	5	-1.675
812	demon	2421	8.781	5	5	-1.691
813	dictum	3527	12.792	8	8	-1.694
814	uterque	7941	28.801	21	17	-1.702
815	diu	2832	10.271	6	6	-1.744
816	testis	2836	10.286	6	6	-1.75
817	prauus	2846	10.322	6	6	-1.764
818	examplum	6710	24.336	17	13	-1.779
819	loquor	15720	57.014	45	38	-1.791
820	conseruo	2483	9.006	5	4	-1.791
821	redeo	5029	18.239	12	11	-1.801
822	consequor	2491	9.035	5	5	-1.804
823	diaconus	3974	14.413	9	7	-1.804
824	presumo	4746	17.213	11	9	-1.873
825	solum1	10488	38.038	28	26	-1.897
826	percutio	3314	12.019	7	5	-1.897
827	inde	7879	28.576	20	18	-1.918
828	custodio2	4080	14.798	9	8	-1.933
829	exsisto	6201	22.49	15	13	-1.934
830	martyr	7254	26.309	18	17	-1.958
831	idolum	2982	10.815	6	6	-1.966
832	intentio	2591	9.397	5	3	-1.966
833	postquam	4115	14.925	9	9	-1.975
834	subicio	3002	10.888	6	6	-1.995
835	confirmo	4512	16.364	10	10	-2.013
836	mereo1	3403	12.342	7	7	-2.019
837	coram2	4891	17.739	11	10	-2.032
838	consentio	3040	11.026	6	4	-2.052
839	unitas	3431	12.444	7	6	-2.058
840	respicio	2660	9.647	5	4	-2.078
841	melius	2662	9.655	5	4	-2.082
842	longus	2662	9.655	5	5	-2.082
843	circa2	3449	12.509	7	7	-2.082
844	numquam	4938	17.909	11	10	-2.083
845	lingua	5301	19.226	12	12	-2.086
846	pascha	2667	9.673	5	2	-2.09
847	predestino	2670	9.684	5	4	-2.095
848	100	3493	12.669	7	7	-2.143
849	labor2	4996	18.12	11	11	-2.147
850	significo	10220	37.066	26	21	-2.17
851	pariter	3123	11.327	6	6	-2.175
852	ualde	3126	11.338	6	6	-2.179
853	utique	5038	18.272	11	10	-2.193
854	pereo	5041	18.283	11	8	-2.196
855	mirus	2751	9.978	5	5	-2.226
856	quisque	7232	26.229	17	16	-2.238
857	regius	2771	10.05	5	4	-2.258
858	huiusmodi	4354	15.791	9	9	-2.264
859	oratio	8345	30.266	20	15	-2.296
860	alius	47026	170.556	143	89	-2.304
861	totus	19267	69.879	53	44	-2.318
862	plenus	5158	18.707	11	11	-2.324
863	templum	6987	25.341	16	9	-2.335
864	remaneo	2821	10.231	5	4	-2.34
865	permaneo	4808	17.438	10	8	-2.352
866	statim	2835	10.282	5	5	-2.362
867	culpa	2844	10.315	5	4	-2.377
868	permitto	4066	14.747	8	8	-2.385
869	offero	7405	26.857	17	16	-2.391
870	uerus	13589	49.285	35	21	-2.415
871	mitto	15279	55.415	40	33	-2.437
872	creatura	4120	14.943	8	7	-2.455
873	intellectus	3313	12.016	6	5	-2.456
874	celestis	9264	33.599	22	16	-2.473
875	abbas	7157	25.957	16	14	-2.489
876	bene	8253	29.932	19	15	-2.508
877	designo	3799	13.778	7	7	-2.562
878	querio	3799	13.778	7	7	-2.562
879	contrarius	3386	12.281	6	6	-2.564
880	gradus	2977	10.797	5	5	-2.593
881	edo1	6571	23.832	14	12	-2.628
882	predicatio	4273	15.498	8	6	-2.651
883	signum	14316	51.922	36	32	-2.654
884	soleo	4683	16.985	9	9	-2.662
885	crimen	3459	12.545	6	6	-2.672
886	amicus2	3053	11.073	5	5	-2.716
887	relinquo	6672	24.198	14	14	-2.726
888	similis	5541	20.096	11	7	-2.743
889	capio1	5156	18.7	10	9	-2.751
890	puer	3939	14.286	7	7	-2.754
891	precapio	3522	12.774	6	5	-2.765
892	filia	3952	14.333	7	4	-2.772
893	accedo	3956	14.348	7	6	-2.777
894	quod	53580	194.327	159	91	-2.802
895	sapiens	3554	12.89	6	6	-2.813
896	iubeo	9352	33.918	21	19	-2.819
897	aduentus	3564	12.926	6	6	-2.828
898	publicus1	3571	12.952	6	6	-2.838
899	necessarius1	3575	12.966	6	6	-2.844
900	iustitia	11209	40.653	26	19	-2.874
901	saluator	5664	20.543	11	8	-2.877
902	admoneo	3156	11.446	5	4	-2.883
903	quantum	5680	20.601	11	10	-2.895
904	comes	4465	16.194	8	6	-2.897
905	statuo	3172	11.504	5	5	-2.909
906	lapis	4057	14.714	7	5	-2.916
907	prohibeo	3670	13.311	6	6	-2.984
908	super	23579	85.518	62	42	-2.987
909	perpetuus	4114	14.921	7	7	-2.994
910	quisquis1	7132	25.867	14	13	-3.172
911	descendo	4258	15.443	7	6	-3.191
912	liceo	4265	15.469	7	7	-3.201
913	error	5140	18.642	9	9	-3.214
914	ecce	7576	27.477	15	12	-3.222
915	minus	3836	13.913	6	6	-3.23
916	qualiter	3848	13.956	6	6	-3.248
917	spiritalis	7657	27.771	15	12	-3.297
918	peto	6871	24.92	13	12	-3.306
919	agnosco	3424	12.418	5	4	-3.318
920	quero	8096	29.363	16	13	-3.341
921	?	41969	152.215	116	60	-3.363
922	quidem	13370	48.491	30	27	-3.376
923	modus	5285	19.168	9	9	-3.389
924	scilicet	11586	42.021	25	21	-3.404
925	mora1	3957	14.352	6	6	-3.409
926	intellego	19060	69.128	46	33	-3.41
927	rogo	4419	16.027	7	7	-3.412
928	appareo	6162	22.349	11	11	-3.422
929	!	3970	14.399	6	6	-3.429
930	deinde	5323	19.306	9	9	-3.435
931	existimo	3501	12.698	5	5	-3.442
932	dolor	3540	12.839	5	5	-3.506
933	species	4029	14.613	6	6	-3.516
934	pertineo	6671	24.195	12	11	-3.52
935	qualis	4107	14.896	6	6	-3.632
936	manus2	17027	61.754	39	30	-3.644
937	addo	4603	16.694	7	6	-3.664
938	celebro	4605	16.702	7	7	-3.667
939	alter	10468	37.966	21	20	-3.702
940	ira	3684	13.361	5	2	-3.739
941	persona	7304	26.491	13	10	-3.742
942	gero	5597	20.3	9	9	-3.767
943	lux	6916	25.083	12	11	-3.777
944	sic	22224	80.603	53	45	-3.792
945	precipio	4246	15.4	6	5	-3.837
946	quando	13356	48.44	28	22	-3.863
947	hostis	6567	23.818	11	10	-3.865
948	constituo	8682	31.488	16	15	-3.872
949	clericus2	5231	18.972	8	7	-3.879
950	nosco	9229	33.472	17	16	-3.995
951	quisquam	3862	14.007	5	5	-4.028
952	conuenio	5358	19.433	8	8	-4.042
953	proficio	3874	14.05	5	5	-4.047
954	episcopus	33792	122.559	85	52	-4.074
955	tribuo	3915	14.199	5	5	-4.114
956	iudeus	14110	51.175	29	24	-4.118
957	panis	5422	19.665	8	8	-4.124
958	imago	5453	19.777	8	4	-4.164
959	magnus	24102	87.414	56	46	-4.198
960	cum2	48101	174.455	127	83	-4.211
961	impius	4519	16.39	6	6	-4.242
962	adhuc	7383	26.777	12	12	-4.266
963	discipulus	4540	16.466	6	6	-4.273
964	sto	5540	20.093	8	8	-4.275
965	impleo	6026	21.855	9	9	-4.285
966	aufero	5062	18.359	7	7	-4.293
967	presbyter	8350	30.284	14	13	-4.352
968	tamquam	5612	20.354	8	7	-4.368
969	communis	4075	14.779	5	4	-4.373
970	paruus	6579	23.861	10	10	-4.383
971	benedico	4618	16.749	6	6	-4.388
972	aliquis	23119	83.849	52	42	-4.417
973	transeo	5664	20.543	8	7	-4.434
974	proprius1	13802	50.058	27	24	-4.437
975	angelus	8495	30.81	14	8	-4.493
976	forma	4151	15.055	5	5	-4.497
977	nunc	13926	50.508	27	22	-4.524
978	diabolus	7654	27.76	12	11	-4.549
979	fors	5763	20.902	8	7	-4.561
980	dominicus1	5771	20.931	8	5	-4.572
981	unusquisque	6766	24.539	10	10	-4.598
982	seruo	7349	26.654	11	10	-4.72
983	mallus1	8278	30.023	13	10	-4.721
984	ualeo	9178	33.287	15	13	-4.722
985	mox	4291	15.563	5	5	-4.724
986	fio	22271	80.774	48	41	-4.73
987	neco	4303	15.606	5	5	-4.743
988	regno	4305	15.614	5	4	-4.747
989	ignis	8316	30.161	13	13	-4.76
990	absque	4330	15.704	5	5	-4.787
991	predico1	7881	28.583	12	11	-4.787
992	res	22399	81.238	48	43	-4.797
993	post2	23168	84.027	50	37	-4.812
994	uir	19443	70.517	40	38	-4.825
995	quatenus	4354	15.791	5	5	-4.826
996	magis	8839	32.058	14	14	-4.826
997	certus	4360	15.813	5	5	-4.836
998	ibi	10625	38.535	18	17	-4.84
999	quoniam	16008	58.059	31	24	-4.86
1000	omnino	4403	15.969	5	5	-4.905
1001	ullus	4970	18.026	6	6	-4.909
1002	dignus	8471	30.723	13	11	-4.916
1003	ante2	12432	45.089	22	16	-4.923
1004	uirgo	7058	25.598	10	10	-4.933
1005	mulier	6577	23.854	9	8	-4.951
1006	ob	5009	18.167	6	6	-4.967
1007	cado	4445	16.121	5	5	-4.974
1008	uxor	6105	22.142	8	8	-5
1009	ratio	9036	32.772	14	12	-5.017
1010	cognosco	10858	39.38	18	16	-5.039
1011	ipse2	84491	306.436	230	131	-5.04
1012	reddo	8605	31.209	13	10	-5.05
1013	cunctus	10019	36.337	16	13	-5.084
1014	enim	66589	241.508	174	97	-5.118
1015	populus1	22668	82.214	47	31	-5.136
1016	uoco	13140	47.657	23	17	-5.141
1017	talis	14475	52.499	26	24	-5.197
1018	sacerdos	12795	46.406	22	21	-5.203
1019	rectus	7826	28.384	11	9	-5.241
1020	tamen	22532	81.72	46	35	-5.267
1021	spiritus	31474	114.152	70	29	-5.277
1022	potius	4633	16.803	5	5	-5.279
1023	sol	5333	19.342	6	6	-5.447
1024	ergo1	29670	107.609	64	45	-5.451
1025	puto	7002	25.395	9	9	-5.465
1026	uero1	35931	130.316	81	64	-5.48
1027	uniuersi	4770	17.3	5	5	-5.501
1028	usque	24197	87.759	49	39	-5.537
1029	passio	7106	25.772	9	8	-5.591
1030	dux1	4842	17.561	5	5	-5.618
1031	gratia2	23297	84.495	46	20	-5.676
1032	homo	47745	173.164	112	48	-5.779
1033	oporteo	5575	20.22	6	6	-5.805
1034	peruenio	6747	24.47	8	7	-5.823
1035	mensis	6191	22.454	7	6	-5.841
1036	eligo	7355	26.676	9	8	-5.892
1037	quis	41464	150.384	93	59	-5.95
1038	si	77083	279.569	196	98	-5.969
1039	annus	23523	85.314	45	32	-6.01
1040	tum	16556	60.046	28	23	-6.056
1041	uolo2	23240	84.288	44	35	-6.074
1042	iustus	15277	55.407	25	15	-6.081
1043	ueritas	13939	50.555	22	16	-6.088
1044	nullus	24241	87.919	46	38	-6.181
1045	uerum1	7601	27.568	9	8	-6.189
1046	concedo	5214	18.91	5	5	-6.221
1047	propter	17688	64.152	30	23	-6.235
1048	urbs	7688	27.883	9	9	-6.294
1049	animus	7777	28.206	9	9	-6.402
1050	quasi	19683	71.387	34	26	-6.412
1051	pater	42897	155.581	93	61	-6.489
1052	scio	13520	49.035	20	19	-6.492
1053	gens	13090	47.476	19	12	-6.533
1054	mons	6752	24.489	7	7	-6.61
1055	dico1	14166	51.378	21	17	-6.629
1056	placeo	6145	22.287	6	6	-6.649
1057	pena	5506	19.969	5	5	-6.695
1058	audio	20164	73.132	34	28	-6.711
1059	pius	8035	29.142	9	9	-6.714
1060	ordino	5530	20.057	5	5	-6.733
1061	inquio	15058	54.613	22	17	-6.953
1062	tempus	29849	108.258	56	43	-6.983
1063	preceptum	7062	25.613	7	7	-7.035
1064	humanus1	10590	38.408	13	11	-7.047
1065	modo2	10590	38.408	13	12	-7.047
1066	quam	41978	152.248	86	67	-7.144
1067	uideo	45783	166.048	96	64	-7.149
1068	suus	117610	426.554	302	133	-7.167
1069	dedo	5825	21.126	5	5	-7.212
1070	nec	57170	207.347	126	78	-7.247
1071	que	76595	277.799	179	109	-7.385
1072	oro	5945	21.562	5	5	-7.407
1073	mors	17655	64.032	26	22	-7.459
1074	uel	61906	224.524	137	76	-7.478
1075	ius1	6001	21.765	5	5	-7.497
1076	cepio	6008	21.79	5	5	-7.509
1077	tantus	12693	46.036	16	14	-7.509
1078	prius	6813	24.71	6	4	-7.638
1079	seculum	10696	38.793	12	12	-7.734
1080	crux	6277	22.766	5	5	-7.945
1081	nascor	7022	25.468	6	6	-7.948
1082	duco	7756	28.13	7	7	-7.986
1083	hora	11585	42.017	13	12	-8.048
1084	anima	20451	74.173	30	24	-8.065
1085	autem	64914	235.434	140	78	-8.066
1086	nihil	13404	48.614	16	15	-8.154
1087	iudicium	15105	54.784	19	19	-8.209
1088	atque	64010	232.155	136	89	-8.245
1089	summus	6483	23.513	5	5	-8.279
1090	aut	34719	125.921	61	36	-8.312
1091	uenio	11378	41.266	12	9	-8.448
1092	pecco	6588	23.894	5	4	-8.45
1093	malus1	7711	27.967	6	6	-8.968
1094	do	28094	101.893	43	35	-8.981
1095	potestas	9926	36	9	8	-9
1096	ipse1	9945	36.069	9	9	-9.023
1097	debeo	23501	85.235	33	25	-9.093
1098	monasterium	10117	36.693	9	8	-9.231
1099	dum	18066	65.523	22	19	-9.279
1100	nolo	10171	36.889	9	7	-9.296
1101	uox	10981	39.827	10	9	-9.432
1102	ero	26515	96.166	38	30	-9.436
1103	suscipio	10308	37.386	9	9	-9.462
1104	celum	17298	62.737	20	15	-9.556
1105	ille2	110466	400.644	247	136	-9.776
1106	ideo	14608	52.981	15	15	-9.807
1107	apostolicus	9163	33.233	7	7	-9.915
1108	corpus	25509	92.517	34	24	-10.036
1109	possum	56956	206.571	104	81	-10.058
1110	oculus	9410	34.129	7	7	-10.254
1111	cum1	70084	254.184	135	95	-10.258
1112	honor	9422	34.172	7	7	-10.27
1113	facio	73916	268.082	144	104	-10.34
1114	omnis	114016	413.519	250	139	-10.342
1115	frater	19042	69.063	21	17	-10.488
1116	a	138248	501.405	315	182	-10.503
1117	tuus	47270	171.441	78	57	-10.58
1118	casa	14857	53.884	14	12	-10.659
1119	ad	177121	642.392	422	181	-10.728
1120	dies	35444	128.55	51	33	-10.859
1121	mundus2	15073	54.668	14	13	-10.869
1122	nisi	22453	81.434	26	24	-10.871
1123	ne2	26592	96.445	33	28	-11.044
1124	noster	59504	215.812	103	72	-11.116
1125	et	725333	2630.675	2118	402	-11.14
1126	sedes	9426	34.187	6	5	-11.507
1127	iudico	9448	34.267	6	6	-11.54
1128	sum	524045	1900.634	1457	336	-11.622
1129	princeps	10481	38.013	7	7	-11.722
1130	morior	8639	31.332	5	5	-11.776
1131	domina	8868	32.163	5	5	-12.148
1132	pro	43480	157.696	62	45	-12.153
1133	quia	98686	357.92	188	89	-12.393
1134	eternus	16006	58.051	13	13	-12.495
1135	diligo	9322	33.81	5	5	-12.884
1136	futurus	9511	34.495	5	5	-13.191
1137	credo2	21895	79.41	20	16	-13.284
1138	ago	19103	69.284	16	15	-13.321
1139	sed	101708	368.88	184	119	-13.63
1140	aqua	10006	36.29	5	5	-13.993
1141	peccatum	26411	95.789	25	23	-14.158
1142	uirtus	20802	75.446	17	16	-14.175
1143	caritas	10145	36.794	5	3	-14.219
1144	uoluntas	11264	40.853	6	5	-14.229
1145	fidelis	12503	45.347	7	7	-14.494
1146	christus	59315	215.127	83	53	-14.503
1147	domus	13754	49.884	8	8	-14.808
1148	ego	60664	220.019	82	58	-15.242
1149	per	98723	358.054	163	106	-15.278
1150	ueneo	18864	68.417	13	10	-15.37
1151	semper	14444	52.386	8	8	-15.693
1152	ecclesia	50122	181.785	60	43	-15.722
1153	tu	47761	173.222	54	45	-16.224
1154	,	2210261	8016.289	6686	591	-16.269
1155	uester	24118	87.472	18	15	-16.375
1156	gloria	11706	42.456	5	5	-16.751
1157	nos	57619	208.976	69	48	-16.851
1158	mens	14696	53.3	7	7	-17.5
1159	filius	50031	181.455	53	41	-17.645
1160	dominus	89984	326.359	126	82	-17.849
1161	sine	17513	63.517	9	8	-18.172
1162	terra	26620	96.547	17	12	-19.293
1163	se	80262	291.098	92	65	-20.757
1164	uos	35822	129.921	25	21	-20.984
1165	meus	41617	150.939	31	22	-21.542
1166	deus	140088	508.078	193	99	-22.68
1167	is2	288636	1046.84	505	214	-24.112
1168	caro2	18153	65.838	6	6	-24.429
1169	cor	20900	75.801	7	7	-26.004
1170	non	212441	770.492	301	157	-27.061
