No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Z-score value
592	uarius1	2638	9.568	11	11	0.301
593	hactenus	1334	4.838	6	6	0.301
594	augeo	1598	5.796	7	6	0.293
595	columna	1084	3.932	5	4	0.287
596	quodammodo	1085	3.935	5	4	0.285
597	porro	2399	8.701	10	9	0.271
598	felix	2663	9.658	11	9	0.271
599	paradisus	1879	6.815	8	4	0.262
600	exilium	1097	3.979	5	4	0.261
601	difficilis	1097	3.979	5	5	0.261
602	decurro	1098	3.982	5	5	0.259
603	uenerandus	1363	4.943	6	5	0.25
604	utilis	1632	5.919	7	7	0.239
605	dogma	1640	5.948	7	6	0.226
606	superius	3237	11.74	13	12	0.222
607	laudo	4595	16.665	18	16	0.204
608	spiro	1127	4.088	5	5	0.204
609	argumentum	1407	5.103	6	6	0.176
610	canonicus1	1154	4.185	5	4	0.154
611	proinde	1159	4.204	5	5	0.145
612	mille	3852	13.971	15	12	0.142
613	solummodo	1434	5.201	6	5	0.131
614	exinde	1244	4.512	5	5	0.115
615	ordo	10155	36.831	38	29	0.11
616	undique	1251	4.537	5	4	0.109
617	aio	18645	67.623	69	41	0.107
618	subiungo	2534	9.19	10	9	0.102
619	hereo	1183	4.291	5	5	0.101
620	lateo	1456	5.281	6	6	0.095
621	principatus	1194	4.331	5	2	0.081
622	medium	1199	4.349	5	5	0.073
623	perfectio	2371	8.599	9	7	0.068
624	arbitror	1750	6.347	7	7	0.061
625	congruus	1478	5.361	6	6	0.06
626	desidero	3198	11.599	12	11	0.059
627	propheto	1207	4.378	5	5	0.059
628	disciplina	2928	10.619	11	10	0.058
629	condicio	1847	6.699	7	7	0.058
630	nitor1	1313	4.762	5	5	0.055
631	repeto	1585	5.749	6	6	0.052
632	tego	1320	4.787	5	5	0.049
633	sensum	2419	8.773	9	9	0.038
634	occurro	2152	7.805	8	7	0.035
635	recedo	3535	12.821	13	12	0.025
636	orno	1621	5.879	6	6	0.025
637	assumo	4097	14.859	15	11	0.018
638	sex	2330	8.451	9	6	0.017
639	studium	4111	14.91	15	13	0.012
640	abscondo	2190	7.943	8	8	0.01
641	continuo1	1367	4.958	5	4	0.009
642	studeo	3844	13.942	14	13	0.008
643	probo	4948	17.946	18	18	0.006
644	uix	1790	6.492	7	7	0.003
645	uocabulum	1799	6.525	6	6	-0.01
646	presens	10088	36.588	36	19	-0.014
647	cultus2	2356	8.545	8	8	-0.015
648	consto	3616	13.115	13	13	-0.016
649	uestis	2231	8.092	8	7	-0.016
650	natiuitas	2360	8.559	8	8	-0.02
651	excipio	1684	6.108	6	6	-0.022
652	quondam	2085	7.562	7	7	-0.023
653	retineo	2244	8.139	8	8	-0.024
654	uenerabilis	4191	15.2	15	14	-0.026
655	monstro	2257	8.186	8	7	-0.032
656	regula1	4311	15.635	15	12	-0.034
657	securus	1425	5.168	5	5	-0.037
658	precedo	2652	9.618	9	8	-0.038
659	exeo	4226	15.327	15	12	-0.042
660	adiungo	1545	5.604	5	5	-0.044
661	nuncupo	1437	5.212	5	4	-0.046
662	ieiunium	2383	8.643	8	7	-0.049
663	consedeo	1723	6.249	6	5	-0.05
664	indigeo	1443	5.234	5	5	-0.051
665	antea	1450	5.259	5	5	-0.056
666	insinuo	1739	6.307	6	6	-0.061
667	coniungo	2118	7.682	7	7	-0.066
668	utor	3164	11.475	11	10	-0.07
669	compleo	2602	9.437	9	9	-0.071
670	postulo	2606	9.452	9	6	-0.073
671	reprehendo	1473	5.342	5	5	-0.074
672	uiuo	12684	46.003	45	33	-0.074
673	consummo	1759	6.38	6	6	-0.075
674	redemptor	2043	7.41	7	5	-0.075
675	adhereo	1505	5.458	5	5	-0.098
676	sono	1514	5.491	5	5	-0.105
677	adeo1	1586	5.752	5	5	-0.105
678	profecto	2155	7.816	7	7	-0.113
679	iuxta1	11099	40.254	39	26	-0.119
680	facile	2448	8.879	8	8	-0.127
681	olim	2184	7.921	7	7	-0.15
682	siquidem	3033	11	10	8	-0.151
683	numquid	2751	9.978	9	8	-0.151
684	miro	1905	6.909	6	6	-0.156
685	extremus	1915	6.945	6	6	-0.169
686	eloquium	2486	9.016	8	8	-0.172
687	patriarcha	2486	9.016	8	7	-0.172
688	quicumque	9527	34.553	33	22	-0.179
689	conscientia	2496	9.053	8	8	-0.184
690	imperator	8703	31.565	30	20	-0.189
691	concilium	4771	17.304	16	13	-0.193
692	hereticus2	3927	14.243	13	11	-0.197
693	decerno	3657	13.263	12	9	-0.21
694	adhibeo	1665	6.039	5	5	-0.219
695	quapropter	2248	8.153	7	6	-0.229
696	foris1	1679	6.09	5	5	-0.239
697	contendo	1681	6.097	5	5	-0.242
698	considero	2835	10.282	9	7	-0.244
699	itaque	8518	30.894	29	23	-0.251
700	auris	3705	13.438	12	12	-0.256
701	aurum	2563	9.296	8	8	-0.261
702	medion	3146	11.41	10	10	-0.269
703	ueraciter	1702	6.173	5	5	-0.271
704	differo	2004	7.268	6	6	-0.285
705	insuper1	1715	6.22	5	5	-0.289
706	penite	2590	9.394	8	8	-0.292
707	rector	1719	6.235	5	5	-0.294
708	pondus	1722	6.245	5	4	-0.298
709	postea	4899	17.768	16	14	-0.301
710	pateo	2889	10.478	9	9	-0.302
711	opus1	24361	88.354	85	57	-0.304
712	nimirum	2607	9.455	8	8	-0.311
713	femen	1741	6.314	5	5	-0.324
714	uisio	2627	9.528	8	6	-0.333
715	apud	14047	50.946	48	32	-0.343
716	arca	2348	8.516	7	7	-0.348
717	tango	2645	9.593	8	8	-0.353
718	mysterium	5257	19.066	17	14	-0.359
719	supra1	2964	10.75	9	9	-0.381
720	notus	1790	6.492	5	5	-0.389
721	hic2	9598	34.811	32	27	-0.392
722	uniuersalis	1824	6.615	5	4	-0.434
723	fero	7669	27.814	25	19	-0.439
724	presto2	3023	10.964	9	9	-0.442
725	nobilis	2434	8.828	7	7	-0.447
726	quare	3911	14.185	12	10	-0.447
727	bonus	26208	95.053	90	36	-0.467
728	consensus	2152	7.805	6	6	-0.467
729	pars	17433	63.227	59	46	-0.469
730	penitentia	8009	29.048	26	14	-0.473
731	pastor	3648	13.231	11	10	-0.476
732	appeto	1859	6.742	5	5	-0.478
733	doleo	1861	6.75	5	4	-0.481
734	tandem	2476	8.98	7	5	-0.494
735	teneo	10923	39.616	36	29	-0.495
736	tollo	2793	10.13	8	5	-0.512
737	dubito	2518	9.132	7	7	-0.54
738	quamuis	4631	16.796	14	11	-0.56
739	fides	30182	109.466	103	51	-0.57
740	doceo	10200	36.994	33	28	-0.574
741	misa	3456	12.534	10	9	-0.575
742	sub	14326	51.958	47	32	-0.619
743	quomodo	10295	37.338	33	25	-0.628
744	reliquus	5021	18.21	15	12	-0.635
745	sufficio	2918	10.583	8	8	-0.64
746	usus	3832	13.898	11	10	-0.643
747	scientia	5333	19.342	16	15	-0.646
748	tam	10045	36.432	32	26	-0.651
749	figura	2940	10.663	8	7	-0.662
750	nequaquam	3283	11.907	9	9	-0.698
751	trado	8965	32.515	28	22	-0.704
752	hodie	2363	8.57	6	5	-0.707
753	decretum	2986	10.83	8	3	-0.708
754	cura	4219	15.302	12	10	-0.716
755	laus	6034	21.884	18	16	-0.723
756	taceo	2071	7.511	5	4	-0.734
757	archiepiscopus	3644	13.216	10	10	-0.747
758	bonum	2097	7.606	5	5	-0.763
759	secundum1	20166	73.139	66	50	-0.776
760	donum	4909	17.804	14	9	-0.783
761	colo2	2118	7.682	5	4	-0.787
762	)	30262	109.756	101	71	-0.788
763	abeo	2123	7.7	5	4	-0.793
764	uelut2	5228	18.961	15	13	-0.795
765	igitur	11511	41.749	36	27	-0.812
766	alibi	2804	10.17	7	7	-0.837
767	struo	2489	9.027	6	6	-0.841
768	diuido	3443	12.487	9	8	-0.845
769	auctoritas	8934	32.402	27	25	-0.861
770	locus	27046	98.092	89	60	-0.867
771	at	3787	13.735	10	7	-0.873
772	ut	168062	609.536	587	171	-0.893
773	longe	3815	13.836	10	9	-0.897
774	augustus1	3199	11.602	8	8	-0.911
775	moneo	2562	9.292	6	5	-0.916
776	separo	2582	9.365	6	4	-0.936
777	moueo	3885	14.09	10	5	-0.956
778	etenim	2603	9.441	6	6	-0.957
779	caueo	2277	8.258	5	5	-0.96
780	perduco	2286	8.291	5	5	-0.969
781	extra2	2294	8.32	5	4	-0.978
782	natura	10944	39.692	33	17	-0.983
783	clarus	2977	10.797	7	7	-1.003
784	uidelicet	10383	37.658	31	22	-1.003
785	curo	3637	13.191	9	8	-1.016
786	magister2	3647	13.227	9	9	-1.025
787	falsus	3326	12.063	8	7	-1.026
788	leo	4300	15.596	11	8	-1.037
789	confero	4308	15.625	11	10	-1.043
790	commendo	3669	13.307	9	9	-1.044
791	solus1	8953	32.471	26	24	-1.048
792	sensus	7122	25.83	20	19	-1.049
793	deuotio	2396	8.69	5	5	-1.082
794	dimitto	5627	20.408	15	13	-1.086
795	efficio	3399	12.328	8	8	-1.09
796	pontifex	6896	25.011	19	18	-1.102
797	demon	2421	8.781	5	5	-1.107
798	quantus	4715	17.101	12	12	-1.113
799	interpretor	5357	19.429	14	12	-1.118
800	propterea	3112	11.287	7	7	-1.127
801	;	116352	421.992	398	151	-1.144
802	cupio	3148	11.417	7	7	-1.159
803	conseruo	2483	9.006	5	4	-1.168
804	consequor	2491	9.035	5	5	-1.176
805	diu	2832	10.271	6	6	-1.177
806	testis	2836	10.286	6	6	-1.18
807	prauus	2846	10.322	6	6	-1.19
808	dictum	3527	12.792	8	8	-1.2
809	nemo	6740	24.445	18	12	-1.202
810	paulus	8919	32.348	25	20	-1.204
811	procedo	4218	15.298	10	5	-1.227
812	licet	5198	18.852	13	13	-1.233
813	respondeo	7111	25.791	19	12	-1.239
814	intentio	2591	9.397	5	3	-1.271
815	iterum	6856	24.866	18	16	-1.277
816	diaconus	3974	14.413	9	7	-1.294
817	nam	23565	85.467	73	45	-1.294
818	iam	20595	74.695	63	47	-1.295
819	percutio	3314	12.019	7	5	-1.304
820	idolum	2982	10.815	6	6	-1.312
821	apostolus	27482	99.673	86	46	-1.319
822	habeo	59550	215.979	196	111	-1.325
823	subicio	3002	10.888	6	6	-1.33
824	respicio	2660	9.647	5	4	-1.335
825	melius	2662	9.655	5	4	-1.337
826	longus	2662	9.655	5	5	-1.337
827	pascha	2667	9.673	5	2	-1.342
828	redeo	5029	18.239	12	11	-1.344
829	predestino	2670	9.684	5	4	-1.344
830	uterque	7941	28.801	21	17	-1.36
831	consentio	3040	11.026	6	4	-1.363
832	presumo	4746	17.213	11	9	-1.377
833	custodio2	4080	14.798	9	8	-1.377
834	mereo1	3403	12.342	7	7	-1.378
835	examplum	6710	24.336	17	13	-1.386
836	unitas	3431	12.444	7	6	-1.401
837	postquam	4115	14.925	9	9	-1.404
838	circa2	3449	12.509	7	7	-1.416
839	mirus	2751	9.978	5	5	-1.418
840	pariter	3123	11.327	6	6	-1.434
841	regius	2771	10.05	5	4	-1.435
842	ualde	3126	11.338	6	6	-1.437
843	confirmo	4512	16.364	10	10	-1.45
844	100	3493	12.669	7	7	-1.452
845	exsisto	6201	22.49	15	13	-1.474
846	remaneo	2821	10.231	5	4	-1.479
847	coram2	4891	17.739	11	10	-1.481
848	statim	2835	10.282	5	5	-1.491
849	culpa	2844	10.315	5	4	-1.499
850	inde	7879	28.576	20	18	-1.511
851	numquam	4938	17.909	11	10	-1.515
852	martyr	7254	26.309	18	17	-1.522
853	loquor	15720	57.014	45	38	-1.525
854	lingua	5301	19.226	12	12	-1.534
855	solum1	10488	38.038	28	26	-1.547
856	labor2	4996	18.12	11	11	-1.555
857	huiusmodi	4354	15.791	9	9	-1.583
858	utique	5038	18.272	11	10	-1.584
859	pereo	5041	18.283	11	8	-1.586
860	intellectus	3313	12.016	6	5	-1.591
861	gradus	2977	10.797	5	5	-1.612
862	permitto	4066	14.747	8	8	-1.627
863	contrarius	3386	12.281	6	6	-1.65
864	permaneo	4808	17.438	10	8	-1.661
865	plenus	5158	18.707	11	11	-1.666
866	creatura	4120	14.943	8	7	-1.667
867	amicus2	3053	11.073	5	5	-1.675
868	designo	3799	13.778	7	7	-1.691
869	querio	3799	13.778	7	7	-1.691
870	quisque	7232	26.229	17	16	-1.704
871	crimen	3459	12.545	6	6	-1.707
872	significo	10220	37.066	26	21	-1.736
873	precapio	3522	12.774	6	5	-1.755
874	templum	6987	25.341	16	9	-1.756
875	admoneo	3156	11.446	5	4	-1.758
876	statuo	3172	11.504	5	5	-1.77
877	oratio	8345	30.266	20	15	-1.775
878	predicatio	4273	15.498	8	6	-1.778
879	sapiens	3554	12.89	6	6	-1.78
880	aduentus	3564	12.926	6	6	-1.787
881	publicus1	3571	12.952	6	6	-1.793
882	puer	3939	14.286	7	7	-1.795
883	necessarius1	3575	12.966	6	6	-1.796
884	filia	3952	14.333	7	4	-1.805
885	offero	7405	26.857	17	16	-1.806
886	accedo	3956	14.348	7	6	-1.808
887	soleo	4683	16.985	9	9	-1.816
888	abbas	7157	25.957	16	14	-1.856
889	prohibeo	3670	13.311	6	6	-1.867
890	lapis	4057	14.714	7	5	-1.881
891	capio1	5156	18.7	10	9	-1.896
892	bene	8253	29.932	19	15	-1.907
893	edo1	6571	23.832	14	12	-1.912
894	comes	4465	16.194	8	6	-1.912
895	celestis	9264	33.599	22	16	-1.915
896	similis	5541	20.096	11	7	-1.918
897	perpetuus	4114	14.921	7	7	-1.921
898	totus	19267	69.879	53	44	-1.959
899	agnosco	3424	12.418	5	4	-1.963
900	uerus	13589	49.285	35	21	-1.964
901	relinquo	6672	24.198	14	14	-1.972
902	minus	3836	13.913	6	6	-1.987
903	saluator	5664	20.543	11	8	-1.995
904	qualiter	3848	13.956	6	6	-1.996
905	mitto	15279	55.415	40	33	-2.004
906	quantum	5680	20.601	11	10	-2.005
907	existimo	3501	12.698	5	5	-2.02
908	descendo	4258	15.443	7	6	-2.021
909	liceo	4265	15.469	7	7	-2.026
910	dolor	3540	12.839	5	5	-2.048
911	alius	47026	170.556	143	89	-2.072
912	mora1	3957	14.352	6	6	-2.073
913	!	3970	14.399	6	6	-2.082
914	error	5140	18.642	9	9	-2.117
915	species	4029	14.613	6	6	-2.122
916	rogo	4419	16.027	7	7	-2.13
917	iubeo	9352	33.918	21	19	-2.132
918	signum	14316	51.922	36	32	-2.14
919	ira	3684	13.361	5	2	-2.151
920	qualis	4107	14.896	6	6	-2.175
921	modus	5285	19.168	9	9	-2.208
922	iustitia	11209	40.653	26	19	-2.22
923	deinde	5323	19.306	9	9	-2.232
924	quisquis1	7132	25.867	14	13	-2.235
925	addo	4603	16.694	7	6	-2.25
926	celebro	4605	16.702	7	7	-2.252
927	precipio	4246	15.4	6	5	-2.268
928	quisquam	3862	14.007	5	5	-2.273
929	proficio	3874	14.05	5	5	-2.281
930	ecce	7576	27.477	15	12	-2.285
931	peto	6871	24.92	13	12	-2.288
932	appareo	6162	22.349	11	11	-2.295
933	tribuo	3915	14.199	5	5	-2.309
934	spiritalis	7657	27.771	15	12	-2.329
935	quero	8096	29.363	16	13	-2.374
936	pertineo	6671	24.195	12	11	-2.378
937	gero	5597	20.3	9	9	-2.397
938	clericus2	5231	18.972	8	7	-2.404
939	communis	4075	14.779	5	4	-2.414
940	impius	4519	16.39	6	6	-2.443
941	discipulus	4540	16.466	6	6	-2.456
942	forma	4151	15.055	5	5	-2.463
943	conuenio	5358	19.433	8	8	-2.48
944	super	23579	85.518	62	42	-2.489
945	quod	53580	194.327	159	91	-2.498
946	benedico	4618	16.749	6	6	-2.504
947	lux	6916	25.083	12	11	-2.512
948	panis	5422	19.665	8	8	-2.518
949	hostis	6567	23.818	11	10	-2.524
950	persona	7304	26.491	13	10	-2.524
951	aufero	5062	18.359	7	7	-2.534
952	imago	5453	19.777	8	4	-2.536
953	scilicet	11586	42.021	25	21	-2.549
954	mox	4291	15.563	5	5	-2.551
955	neco	4303	15.606	5	5	-2.558
956	regno	4305	15.614	5	4	-2.559
957	absque	4330	15.704	5	5	-2.575
958	quidem	13370	48.491	30	27	-2.584
959	sto	5540	20.093	8	8	-2.586
960	quatenus	4354	15.791	5	5	-2.59
961	certus	4360	15.813	5	5	-2.593
962	omnino	4403	15.969	5	5	-2.62
963	tamquam	5612	20.354	8	7	-2.627
964	impleo	6026	21.855	9	9	-2.643
965	cado	4445	16.121	5	5	-2.645
966	transeo	5664	20.543	8	7	-2.657
967	constituo	8682	31.488	16	15	-2.671
968	alter	10468	37.966	21	20	-2.672
969	fors	5763	20.902	8	7	-2.713
970	ullus	4970	18.026	6	6	-2.715
971	dominicus1	5771	20.931	8	5	-2.717
972	intellego	19060	69.128	46	33	-2.722
973	paruus	6579	23.861	10	10	-2.735
974	ob	5009	18.167	6	6	-2.737
975	potius	4633	16.803	5	5	-2.757
976	adhuc	7383	26.777	12	12	-2.759
977	nosco	9229	33.472	17	16	-2.761
978	manus2	17027	61.754	39	30	-2.832
979	unusquisque	6766	24.539	10	10	-2.834
980	uniuersi	4770	17.3	5	5	-2.837
981	quando	13356	48.44	28	22	-2.865
982	presbyter	8350	30.284	14	13	-2.868
983	dux1	4842	17.561	5	5	-2.878
984	?	41969	152.215	116	60	-2.895
985	diabolus	7654	27.76	12	11	-2.896
986	uxor	6105	22.142	8	8	-2.899
987	sol	5333	19.342	6	6	-2.92
988	seruo	7349	26.654	11	10	-2.935
989	angelus	8495	30.81	14	8	-2.938
990	mulier	6577	23.854	9	8	-2.939
991	uirgo	7058	25.598	10	10	-2.984
992	predico1	7881	28.583	12	11	-3.008
993	mallus1	8278	30.023	13	10	-3.016
994	sic	22224	80.603	53	45	-3.019
995	iudeus	14110	51.175	29	24	-3.03
996	ignis	8316	30.161	13	13	-3.034
997	oporteo	5575	20.22	6	6	-3.051
998	ualeo	9178	33.287	15	13	-3.083
999	concedo	5214	18.91	5	5	-3.084
1000	magis	8839	32.058	14	14	-3.101
1001	dignus	8471	30.723	13	11	-3.107
1002	puto	7002	25.395	9	9	-3.154
1003	mensis	6191	22.454	7	6	-3.156
1004	rectus	7826	28.384	11	9	-3.169
1005	reddo	8605	31.209	13	10	-3.17
1006	proprius1	13802	50.058	27	24	-3.188
1007	ratio	9036	32.772	14	12	-3.192
1008	passio	7106	25.772	9	8	-3.205
1009	ibi	10625	38.535	18	17	-3.228
1010	peruenio	6747	24.47	8	7	-3.228
1011	nunc	13926	50.508	27	22	-3.237
1012	pena	5506	19.969	5	5	-3.238
1013	ordino	5530	20.057	5	5	-3.25
1014	cunctus	10019	36.337	16	13	-3.291
1015	magnus	24102	87.414	56	46	-3.307
1016	eligo	7355	26.676	9	8	-3.325
1017	cognosco	10858	39.38	18	16	-3.327
1018	placeo	6145	22.287	6	6	-3.344
1019	episcopus	33792	122.559	85	52	-3.347
1020	ante2	12432	45.089	22	16	-3.364
1021	dedo	5825	21.126	5	5	-3.4
1022	aliquis	23119	83.849	52	42	-3.424
1023	mons	6752	24.489	7	7	-3.433
1024	uerum1	7601	27.568	9	8	-3.441
1025	oro	5945	21.562	5	5	-3.459
1026	urbs	7688	27.883	9	9	-3.481
1027	quoniam	16008	58.059	31	24	-3.486
1028	ius1	6001	21.765	5	5	-3.486
1029	cepio	6008	21.79	5	5	-3.49
1030	uoco	13140	47.657	23	17	-3.499
1031	sacerdos	12795	46.406	22	21	-3.509
1032	animus	7777	28.206	9	9	-3.522
1033	cum2	48101	174.455	127	83	-3.555
1034	uir	19443	70.517	40	38	-3.575
1035	preceptum	7062	25.613	7	7	-3.579
1036	talis	14475	52.499	26	24	-3.588
1037	fio	22271	80.774	48	41	-3.591
1038	crux	6277	22.766	5	5	-3.619
1039	res	22399	81.238	48	43	-3.632
1040	pius	8035	29.142	9	9	-3.639
1041	post2	23168	84.027	50	37	-3.657
1042	prius	6813	24.71	6	4	-3.663
1043	summus	6483	23.513	5	5	-3.715
1044	nascor	7022	25.468	6	6	-3.759
1045	pecco	6588	23.894	5	4	-3.763
1046	populus1	22668	82.214	47	31	-3.828
1047	duco	7756	28.13	7	7	-3.89
1048	tamen	22532	81.72	46	35	-3.896
1049	ueritas	13939	50.555	22	16	-3.946
1050	iustus	15277	55.407	25	15	-4.018
1051	humanus1	10590	38.408	13	11	-4.019
1052	modo2	10590	38.408	13	12	-4.019
1053	malus1	7711	27.967	6	6	-4.059
1054	gens	13090	47.476	19	12	-4.06
1055	tum	16556	60.046	28	23	-4.071
1056	scio	13520	49.035	20	19	-4.075
1057	usque	24197	87.759	49	39	-4.084
1058	spiritus	31474	114.152	70	29	-4.086
1059	gratia2	23297	84.495	46	20	-4.133
1060	ergo1	29670	107.609	64	45	-4.156
1061	dico1	14166	51.378	21	17	-4.168
1062	propter	17688	64.152	30	23	-4.201
1063	seculum	10696	38.793	12	12	-4.221
1064	uero1	35931	130.316	81	64	-4.276
1065	annus	23523	85.314	45	32	-4.311
1066	enim	66589	241.508	174	97	-4.312
1067	uolo2	23240	84.288	44	35	-4.334
1068	ipse2	84491	306.436	230	131	-4.338
1069	inquio	15058	54.613	22	17	-4.345
1070	tantus	12693	46.036	16	14	-4.353
1071	quasi	19683	71.387	34	26	-4.366
1072	hora	11585	42.017	13	12	-4.399
1073	potestas	9926	36	9	8	-4.417
1074	nullus	24241	87.919	46	38	-4.417
1075	ipse1	9945	36.069	9	9	-4.424
1076	apostolicus	9163	33.233	7	7	-4.464
1077	uenio	11378	41.266	12	9	-4.478
1078	monasterium	10117	36.693	9	8	-4.489
1079	nolo	10171	36.889	9	7	-4.509
1080	audio	20164	73.132	34	28	-4.517
1081	oculus	9410	34.129	7	7	-4.558
1082	suscipio	10308	37.386	9	9	-4.561
1083	honor	9422	34.172	7	7	-4.563
1084	nihil	13404	48.614	16	15	-4.606
1085	homo	47745	173.164	112	48	-4.61
1086	morior	8639	31.332	5	5	-4.615
1087	quis	41464	150.384	93	59	-4.639
1088	uox	10981	39.827	10	9	-4.647
1089	mors	17655	64.032	26	22	-4.69
1090	domina	8868	32.163	5	5	-4.701
1091	sedes	9426	34.187	6	5	-4.735
1092	iudico	9448	34.267	6	6	-4.743
1093	iudicium	15105	54.784	19	19	-4.767
1094	diligo	9322	33.81	5	5	-4.869
1095	futurus	9511	34.495	5	5	-4.937
1096	princeps	10481	38.013	7	7	-4.949
1097	si	77083	279.569	196	98	-4.968
1098	tempus	29849	108.258	56	43	-4.974
1099	pater	42897	155.581	93	61	-4.977
1100	anima	20451	74.173	30	24	-5.071
1101	aqua	10006	36.29	5	5	-5.111
1102	ideo	14608	52.981	15	15	-5.149
1103	caritas	10145	36.794	5	3	-5.159
1104	dum	18066	65.523	22	19	-5.315
1105	quam	41978	152.248	86	67	-5.329
1106	celum	17298	62.737	20	15	-5.333
1107	casa	14857	53.884	14	12	-5.365
1108	uoluntas	11264	40.853	6	5	-5.375
1109	uideo	45783	166.048	96	64	-5.397
1110	mundus2	15073	54.668	14	13	-5.433
1111	debeo	23501	85.235	33	25	-5.604
1112	nec	57170	207.347	126	78	-5.615
1113	fidelis	12503	45.347	7	7	-5.62
1114	gloria	11706	42.456	5	5	-5.672
1115	frater	19042	69.063	21	17	-5.723
1116	aut	34719	125.921	61	36	-5.741
1117	do	28094	101.893	43	35	-5.785
1118	uel	61906	224.524	137	76	-5.808
1119	eternus	16006	58.051	13	13	-5.847
1120	domus	13754	49.884	8	8	-5.859
1121	ero	26515	96.166	38	30	-5.88
1122	que	76595	277.799	179	109	-5.898
1123	suus	117610	426.554	302	133	-6.007
1124	corpus	25509	92.517	34	24	-6.032
1125	semper	14444	52.386	8	8	-6.063
1126	nisi	22453	81.434	26	24	-6.087
1127	autem	64914	235.434	140	78	-6.187
1128	mens	14696	53.3	7	7	-6.273
1129	atque	64010	232.155	136	89	-6.278
1130	ago	19103	69.284	16	15	-6.341
1131	ne2	26592	96.445	33	28	-6.409
1132	credo2	21895	79.41	20	16	-6.611
1133	ueneo	18864	68.417	13	10	-6.639
1134	uirtus	20802	75.446	17	16	-6.671
1135	sine	17513	63.517	9	8	-6.778
1136	dies	35444	128.55	51	33	-6.796
1137	tuus	47270	171.441	78	57	-7.098
1138	possum	56956	206.571	104	81	-7.102
1139	peccatum	26411	95.789	25	23	-7.182
1140	caro2	18153	65.838	6	6	-7.313
1141	uester	24118	87.472	18	15	-7.375
1142	cum1	70084	254.184	135	95	-7.444
1143	facio	73916	268.082	144	104	-7.548
1144	pro	43480	157.696	62	45	-7.581
1145	noster	59504	215.812	103	72	-7.645
1146	ille2	110466	400.644	247	136	-7.651
1147	cor	20900	75.801	7	7	-7.845
1148	omnis	114016	413.519	250	139	-8.017
1149	terra	26620	96.547	17	12	-8.045
1150	a	138248	501.405	315	182	-8.302
1151	ad	177121	642.392	422	181	-8.676
1152	quia	98686	357.92	188	89	-8.955
1153	christus	59315	215.127	83	53	-8.974
1154	ecclesia	50122	181.785	60	43	-8.996
1155	tu	47761	173.222	54	45	-9.02
1156	uos	35822	129.921	25	21	-9.161
1157	ego	60664	220.019	82	58	-9.271
1158	filius	50031	181.455	53	41	-9.499
1159	sed	101708	368.88	184	119	-9.6
1160	nos	57619	208.976	69	48	-9.648
1161	meus	41617	150.939	31	22	-9.722
1162	et	725333	2630.675	2118	402	-9.986
1163	sum	524045	1900.634	1457	336	-10.164
1164	per	98723	358.054	163	106	-10.282
1165	dominus	89984	326.359	126	82	-11.063
1166	se	80262	291.098	92	65	-11.64
1167	deus	140088	508.078	193	99	-13.956
1168	,	2210261	8016.289	6686	591	-14.852
1169	is2	288636	1046.84	505	214	-16.731
1170	non	212441	770.492	301	157	-16.896
