No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log Ratio value
478	spiro	1127	4.088	5	5	0.292
479	preter	2710	9.829	12	12	0.289
480	conditor	1584	5.745	7	7	0.286
481	arbitrium	2270	8.233	10	9	0.282
482	uenerandus	1363	4.943	6	5	0.281
483	augeo	1598	5.796	7	6	0.273
484	monachus	5525	20.038	24	16	0.261
485	recipio	7846	28.456	34	28	0.258
486	canonicus1	1154	4.185	5	4	0.258
487	uerbum	27300	99.013	118	71	0.254
488	proinde	1159	4.204	5	5	0.251
489	ubi	18833	68.305	81	62	0.247
490	dogma	1640	5.948	7	6	0.236
491	paradisus	1879	6.815	8	4	0.232
492	cur	3774	13.688	16	14	0.226
493	multus	21416	77.673	90	63	0.213
494	certe	3334	12.092	14	12	0.212
495	congrego	3349	12.146	14	14	0.206
496	an	4310	15.632	18	12	0.204
497	uarius1	2638	9.568	11	11	0.202
498	pono	17333	62.864	72	44	0.197
499	exhibeo	3621	13.133	15	11	0.193
500	felix	2663	9.658	11	9	0.188
501	siue	22976	83.331	94	62	0.174
502	regnum	16889	61.254	69	39	0.172
503	tantum	9319	33.799	38	25	0.17
504	ceterus	13284	48.179	54	40	0.165
505	congruus	1478	5.361	6	6	0.163
506	littera	7696	27.912	31	28	0.152
507	exinde	1244	4.512	5	5	0.149
508	superius	3237	11.74	13	12	0.148
509	undique	1251	4.537	5	4	0.141
510	subiungo	2534	9.19	10	9	0.122
511	laudo	4595	16.665	18	16	0.112
512	mille	3852	13.971	15	12	0.103
513	accipio	20568	74.597	80	40	0.101
514	sex	2330	8.451	9	6	0.091
515	condicio	1847	6.699	7	7	0.064
516	tego	1320	4.787	5	5	0.063
517	qui2	510903	1852.969	1922	391	0.053
518	disciplina	2928	10.619	11	10	0.051
519	desidero	3198	11.599	12	11	0.049
520	etiam	39518	143.326	148	95	0.046
521	ordo	10155	36.831	38	29	0.045
522	occurro	2152	7.805	8	7	0.036
523	dico3	128642	466.566	477	142	0.032
524	aio	18645	67.623	69	41	0.029
525	recedo	3535	12.821	13	12	0.02
526	assumo	4097	14.859	15	11	0.014
527	continuo1	1367	4.958	5	4	0.012
528	abscondo	2190	7.943	8	8	0.01
529	studium	4111	14.91	15	13	0.009
530	studeo	3844	13.942	14	13	0.006
531	probo	4948	17.946	18	18	0.004
532	consto	3616	13.115	13	13	-0.013
533	uestis	2231	8.092	8	7	-0.016
534	uenerabilis	4191	15.2	15	14	-0.019
535	presens	10088	36.588	36	19	-0.023
536	retineo	2244	8.139	8	8	-0.025
537	excipio	1684	6.108	6	6	-0.026
538	exeo	4226	15.327	15	12	-0.031
539	uiuo	12684	46.003	45	33	-0.032
540	monstro	2257	8.186	8	7	-0.033
541	iuxta1	11099	40.254	39	26	-0.046
542	securus	1425	5.168	5	5	-0.048
543	ut	168062	609.536	587	171	-0.055
544	opus1	24361	88.354	85	57	-0.056
545	regula1	4311	15.635	15	12	-0.06
546	nuncupo	1437	5.212	5	4	-0.06
547	utor	3164	11.475	11	10	-0.061
548	compleo	2602	9.437	9	9	-0.069
549	postulo	2606	9.452	9	6	-0.071
550	insinuo	1739	6.307	6	6	-0.072
551	antea	1450	5.259	5	5	-0.073
552	imperator	8703	31.565	30	20	-0.074
553	bonus	26208	95.053	90	36	-0.079
554	;	116352	421.992	398	151	-0.085
555	apud	14047	50.946	48	32	-0.086
556	fides	30182	109.466	103	51	-0.088
557	reprehendo	1473	5.342	5	5	-0.096
558	precedo	2652	9.618	9	8	-0.096
559	natiuitas	2360	8.559	8	8	-0.098
560	pars	17433	63.227	59	46	-0.1
561	ieiunium	2383	8.643	8	7	-0.112
562	concilium	4771	17.304	16	13	-0.113
563	uocabulum	1799	6.525	6	6	-0.121
564	hereticus2	3927	14.243	13	11	-0.132
565	coniungo	2118	7.682	7	7	-0.135
566	sono	1514	5.491	5	5	-0.136
567	siquidem	3033	11	10	8	-0.138
568	teneo	10923	39.616	36	29	-0.139
569	habeo	59550	215.979	196	111	-0.141
570	locus	27046	98.092	89	60	-0.141
571	decerno	3657	13.263	12	9	-0.145
572	sub	14326	51.958	47	32	-0.145
573	secundum1	20166	73.139	66	50	-0.149
574	numquid	2751	9.978	9	8	-0.149
575	facile	2448	8.879	8	8	-0.151
576	postea	4899	17.768	16	14	-0.152
577	fero	7669	27.814	25	19	-0.154
578	penitentia	8009	29.048	26	14	-0.16
579	auris	3705	13.438	12	12	-0.164
580	doceo	10200	36.994	33	28	-0.165
581	mysterium	5257	19.066	17	14	-0.166
582	patriarcha	2486	9.016	8	7	-0.173
583	eloquium	2486	9.016	8	8	-0.173
584	quomodo	10295	37.338	33	25	-0.179
585	conscientia	2496	9.053	8	8	-0.179
586	medion	3146	11.41	10	10	-0.191
587	considero	2835	10.282	9	7	-0.193
588	adeo1	1586	5.752	5	5	-0.203
589	extremus	1915	6.945	6	6	-0.212
590	apostolus	27482	99.673	86	46	-0.214
591	igitur	11511	41.749	36	27	-0.214
592	trado	8965	32.515	28	22	-0.216
593	quapropter	2248	8.153	7	6	-0.221
594	nam	23565	85.467	73	45	-0.228
595	penite	2590	9.394	8	8	-0.232
596	nimirum	2607	9.455	8	8	-0.242
597	iam	20595	74.695	63	47	-0.246
598	uisio	2627	9.528	8	6	-0.253
599	alius	47026	170.556	143	89	-0.255
600	,	2210261	8016.289	6686	591	-0.263
601	tango	2645	9.593	8	8	-0.263
602	auctoritas	8934	32.402	27	25	-0.264
603	pastor	3648	13.231	11	10	-0.267
604	natura	10944	39.692	33	17	-0.267
605	differo	2004	7.268	6	6	-0.278
606	reliquus	5021	18.21	15	12	-0.281
607	laus	6034	21.884	18	16	-0.283
608	arca	2348	8.516	7	7	-0.284
609	contendo	1681	6.097	5	5	-0.287
610	quod	53580	194.327	159	91	-0.29
611	ueraciter	1702	6.173	5	5	-0.305
612	et	725333	2630.675	2118	402	-0.314
613	insuper1	1715	6.22	5	5	-0.316
614	solus1	8953	32.471	26	24	-0.322
615	misa	3456	12.534	10	9	-0.327
616	nobilis	2434	8.828	7	7	-0.336
617	femen	1741	6.314	5	5	-0.338
618	uelut2	5228	18.961	15	13	-0.339
619	tollo	2793	10.13	8	5	-0.342
620	loquor	15720	57.014	45	38	-0.343
621	donum	4909	17.804	14	9	-0.348
622	cura	4219	15.302	12	10	-0.352
623	paulus	8919	32.348	25	20	-0.373
624	notus	1790	6.492	5	5	-0.378
625	consensus	2152	7.805	6	6	-0.381
626	sum	524045	1900.634	1457	336	-0.385
627	pontifex	6896	25.011	19	18	-0.398
628	totus	19267	69.879	53	44	-0.4
629	archiepiscopus	3644	13.216	10	10	-0.404
630	sufficio	2918	10.583	8	8	-0.405
631	nequaquam	3283	11.907	9	9	-0.405
632	ipse2	84491	306.436	230	131	-0.415
633	figura	2940	10.663	8	7	-0.416
634	appeto	1859	6.742	5	5	-0.433
635	decretum	2986	10.83	8	3	-0.438
636	respondeo	7111	25.791	19	12	-0.442
637	nemo	6740	24.445	18	12	-0.443
638	solum1	10488	38.038	28	26	-0.443
639	dimitto	5627	20.408	15	13	-0.446
640	uterque	7941	28.801	21	17	-0.457
641	at	3787	13.735	10	7	-0.459
642	cum2	48101	174.455	127	83	-0.459
643	super	23579	85.518	62	42	-0.465
644	iterum	6856	24.866	18	16	-0.468
645	longe	3815	13.836	10	9	-0.47
646	mitto	15279	55.415	40	33	-0.472
647	diuido	3443	12.487	9	8	-0.474
648	interpretor	5357	19.429	14	12	-0.474
649	enim	66589	241.508	174	97	-0.474
650	uerus	13589	49.285	35	21	-0.495
651	suus	117610	426.554	302	133	-0.5
652	leo	4300	15.596	11	8	-0.505
653	confero	4308	15.625	11	10	-0.508
654	quantus	4715	17.101	12	12	-0.513
655	significo	10220	37.066	26	21	-0.513
656	si	77083	279.569	196	98	-0.514
657	hodie	2363	8.57	6	5	-0.516
658	inde	7879	28.576	20	18	-0.516
659	examplum	6710	24.336	17	13	-0.519
660	episcopus	33792	122.559	85	52	-0.53
661	signum	14316	51.922	36	32	-0.53
662	licet	5198	18.852	13	13	-0.538
663	augustus1	3199	11.602	8	8	-0.538
664	alibi	2804	10.17	7	7	-0.54
665	martyr	7254	26.309	18	17	-0.549
666	curo	3637	13.191	9	8	-0.553
667	magister2	3647	13.227	9	9	-0.557
668	commendo	3669	13.307	9	9	-0.566
669	exsisto	6201	22.49	15	13	-0.586
670	taceo	2071	7.511	5	4	-0.589
671	intellego	19060	69.128	46	33	-0.589
672	oratio	8345	30.266	20	15	-0.599
673	redeo	5029	18.239	12	11	-0.606
674	ad	177121	642.392	422	181	-0.608
675	celestis	9264	33.599	22	16	-0.613
676	procedo	4218	15.298	10	5	-0.615
677	colo2	2118	7.682	5	4	-0.621
678	efficio	3399	12.328	8	8	-0.626
679	clarus	2977	10.797	7	7	-0.627
680	homo	47745	173.164	112	48	-0.63
681	moneo	2562	9.292	6	5	-0.633
682	que	76595	277.799	179	109	-0.636
683	magnus	24102	87.414	56	46	-0.644
684	presumo	4746	17.213	11	9	-0.648
685	bene	8253	29.932	19	15	-0.658
686	offero	7405	26.857	17	16	-0.662
687	manus2	17027	61.754	39	30	-0.665
688	templum	6987	25.341	16	9	-0.665
689	a	138248	501.405	315	182	-0.673
690	dictum	3527	12.792	8	8	-0.679
691	diaconus	3974	14.413	9	7	-0.681
692	lingua	5301	19.226	12	12	-0.682
693	uero1	35931	130.316	81	64	-0.688
694	propterea	3112	11.287	7	7	-0.691
695	aliquis	23119	83.849	52	42	-0.691
696	coram2	4891	17.739	11	10	-0.691
697	iubeo	9352	33.918	21	19	-0.694
698	quidem	13370	48.491	30	27	-0.695
699	quis	41464	150.384	93	59	-0.695
700	ille2	110466	400.644	247	136	-0.7
701	abbas	7157	25.957	16	14	-0.7
702	numquam	4938	17.909	11	10	-0.705
703	spiritus	31474	114.152	70	29	-0.708
704	uel	61906	224.524	137	76	-0.715
705	custodio2	4080	14.798	9	8	-0.719
706	nec	57170	207.347	126	78	-0.721
707	labor2	4996	18.12	11	11	-0.722
708	caueo	2277	8.258	5	5	-0.726
709	omnis	114016	413.519	250	139	-0.728
710	perduco	2286	8.291	5	5	-0.732
711	postquam	4115	14.925	9	9	-0.732
712	pereo	5041	18.283	11	8	-0.735
713	extra2	2294	8.32	5	4	-0.737
714	pater	42897	155.581	93	61	-0.744
715	post2	23168	84.027	50	37	-0.751
716	scilicet	11586	42.021	25	21	-0.751
717	ergo1	29670	107.609	64	45	-0.752
718	autem	64914	235.434	140	78	-0.752
719	fio	22271	80.774	48	41	-0.753
720	res	22399	81.238	48	43	-0.761
721	plenus	5158	18.707	11	11	-0.768
722	edo1	6571	23.832	14	12	-0.77
723	atque	64010	232.155	136	89	-0.774
724	diu	2832	10.271	6	6	-0.778
725	percutio	3314	12.019	7	5	-0.782
726	relinquo	6672	24.198	14	14	-0.792
727	uideo	45783	166.048	96	64	-0.793
728	quando	13356	48.44	28	22	-0.793
729	deuotio	2396	8.69	5	5	-0.8
730	permaneo	4808	17.438	10	8	-0.804
731	populus1	22668	82.214	47	31	-0.809
732	huiusmodi	4354	15.791	9	9	-0.813
733	demon	2421	8.781	5	5	-0.815
734	uir	19443	70.517	40	38	-0.82
735	iudeus	14110	51.175	29	24	-0.822
736	quam	41978	152.248	86	67	-0.826
737	tamen	22532	81.72	46	35	-0.831
738	unitas	3431	12.444	7	6	-0.832
739	circa2	3449	12.509	7	7	-0.84
740	usque	24197	87.759	49	39	-0.843
741	conseruo	2483	9.006	5	4	-0.851
742	idolum	2982	10.815	6	6	-0.852
743	alter	10468	37.966	21	20	-0.857
744	100	3493	12.669	7	7	-0.858
745	subicio	3002	10.888	6	6	-0.862
746	quero	8096	29.363	16	13	-0.878
747	gratia2	23297	84.495	46	20	-0.88
748	consentio	3040	11.026	6	4	-0.88
749	permitto	4066	14.747	8	8	-0.885
750	quisquis1	7132	25.867	14	13	-0.888
751	spiritalis	7657	27.771	15	12	-0.891
752	facio	73916	268.082	144	104	-0.899
753	saluator	5664	20.543	11	8	-0.904
754	creatura	4120	14.943	8	7	-0.904
755	capio1	5156	18.7	10	9	-0.905
756	nunc	13926	50.508	27	22	-0.906
757	intentio	2591	9.397	5	3	-0.913
758	soleo	4683	16.985	9	9	-0.919
759	ualde	3126	11.338	6	6	-0.921
760	annus	23523	85.314	45	32	-0.925
761	quia	98686	357.92	188	89	-0.931
762	nullus	24241	87.919	46	38	-0.937
763	uolo2	23240	84.288	44	35	-0.94
764	peto	6871	24.92	13	12	-0.941
765	melius	2662	9.655	5	4	-0.952
766	tempus	29849	108.258	56	43	-0.954
767	pascha	2667	9.673	5	2	-0.955
768	predestino	2670	9.684	5	4	-0.956
769	predicatio	4273	15.498	8	6	-0.957
770	constituo	8682	31.488	16	15	-0.979
771	designo	3799	13.778	7	7	-0.98
772	possum	56956	206.571	104	81	-0.993
773	intellectus	3313	12.016	6	5	-1.005
774	sed	101708	368.88	184	119	-1.006
775	pertineo	6671	24.195	12	11	-1.014
776	talis	14475	52.499	26	24	-1.016
777	comes	4465	16.194	8	6	-1.02
778	appareo	6162	22.349	11	11	-1.025
779	persona	7304	26.491	13	10	-1.03
780	puer	3939	14.286	7	7	-1.032
781	remaneo	2821	10.231	5	4	-1.036
782	contrarius	3386	12.281	6	6	-1.036
783	ante2	12432	45.089	22	16	-1.038
784	accedo	3956	14.348	7	6	-1.038
785	culpa	2844	10.315	5	4	-1.047
786	error	5140	18.642	9	9	-1.053
787	uoco	13140	47.657	23	17	-1.054
788	is2	288636	1046.84	505	214	-1.054
789	lux	6916	25.083	12	11	-1.066
790	crimen	3459	12.545	6	6	-1.067
791	noster	59504	215.812	103	72	-1.07
792	quasi	19683	71.387	34	26	-1.073
793	lapis	4057	14.714	7	5	-1.075
794	sacerdos	12795	46.406	22	21	-1.08
795	precapio	3522	12.774	6	5	-1.093
796	modus	5285	19.168	9	9	-1.093
797	perpetuus	4114	14.921	7	7	-1.095
798	propter	17688	64.152	30	23	-1.099
799	ibi	10625	38.535	18	17	-1.101
800	tum	16556	60.046	28	23	-1.103
801	deinde	5323	19.306	9	9	-1.104
802	audio	20164	73.132	34	28	-1.108
803	aduentus	3564	12.926	6	6	-1.11
804	gradus	2977	10.797	5	5	-1.113
805	presbyter	8350	30.284	14	13	-1.116
806	hostis	6567	23.818	11	10	-1.117
807	cognosco	10858	39.38	18	16	-1.132
808	per	98723	358.054	163	106	-1.138
809	tuus	47270	171.441	78	57	-1.139
810	angelus	8495	30.81	14	8	-1.141
811	iustus	15277	55.407	25	15	-1.151
812	prohibeo	3670	13.311	6	6	-1.152
813	ualeo	9178	33.287	15	13	-1.153
814	adhuc	7383	26.777	12	12	-1.161
815	gero	5597	20.3	9	9	-1.176
816	cunctus	10019	36.337	16	13	-1.186
817	admoneo	3156	11.446	5	4	-1.198
818	rogo	4419	16.027	7	7	-1.198
819	magis	8839	32.058	14	14	-1.198
820	mallus1	8278	30.023	13	10	-1.211
821	minus	3836	13.913	6	6	-1.216
822	ignis	8316	30.161	13	13	-1.217
823	ratio	9036	32.772	14	12	-1.23
824	dignus	8471	30.723	13	11	-1.244
825	do	28094	101.893	43	35	-1.248
826	clericus2	5231	18.972	8	7	-1.249
827	predico1	7881	28.583	12	11	-1.255
828	celebro	4605	16.702	7	7	-1.258
829	paruus	6579	23.861	10	10	-1.258
830	mora1	3957	14.352	6	6	-1.261
831	reddo	8605	31.209	13	10	-1.267
832	conuenio	5358	19.433	8	8	-1.283
833	species	4029	14.613	6	6	-1.287
834	scio	13520	49.035	20	19	-1.297
835	unusquisque	6766	24.539	10	10	-1.298
836	panis	5422	19.665	8	8	-1.301
837	mors	17655	64.032	26	22	-1.303
838	imago	5453	19.777	8	4	-1.309
839	anima	20451	74.173	30	24	-1.309
840	inquio	15058	54.613	22	17	-1.315
841	qualis	4107	14.896	6	6	-1.315
842	agnosco	3424	12.418	5	4	-1.316
843	gens	13090	47.476	19	12	-1.324
844	sto	5540	20.093	8	8	-1.332
845	dies	35444	128.55	51	33	-1.337
846	ero	26515	96.166	38	30	-1.343
847	existimo	3501	12.698	5	5	-1.348
848	pro	43480	157.696	62	45	-1.35
849	non	212441	770.492	301	157	-1.359
850	uirgo	7058	25.598	10	10	-1.359
851	dolor	3540	12.839	5	5	-1.364
852	rectus	7826	28.384	11	9	-1.371
853	debeo	23501	85.235	33	25	-1.372
854	dominus	89984	326.359	126	82	-1.376
855	christus	59315	215.127	83	53	-1.377
856	aufero	5062	18.359	7	7	-1.394
857	deus	140088	508.078	193	99	-1.4
858	mulier	6577	23.854	9	8	-1.409
859	ego	60664	220.019	82	58	-1.427
860	corpus	25509	92.517	34	24	-1.448
861	uxor	6105	22.142	8	8	-1.472
862	proficio	3874	14.05	5	5	-1.494
863	puto	7002	25.395	9	9	-1.5
864	passio	7106	25.772	9	8	-1.521
865	tantus	12693	46.036	16	14	-1.528
866	modo2	10590	38.408	13	12	-1.566
867	humanus1	10590	38.408	13	11	-1.566
868	communis	4075	14.779	5	4	-1.567
869	eligo	7355	26.676	9	8	-1.571
870	dum	18066	65.523	22	19	-1.578
871	ullus	4970	18.026	6	6	-1.591
872	forma	4151	15.055	5	5	-1.594
873	ob	5009	18.167	6	6	-1.602
874	nos	57619	208.976	69	48	-1.602
875	ecclesia	50122	181.785	60	43	-1.603
876	nihil	13404	48.614	16	15	-1.607
877	peruenio	6747	24.47	8	7	-1.616
878	uerum1	7601	27.568	9	8	-1.619
879	urbs	7688	27.883	9	9	-1.635
880	mox	4291	15.563	5	5	-1.642
881	neco	4303	15.606	5	5	-1.646
882	nisi	22453	81.434	26	24	-1.651
883	animus	7777	28.206	9	9	-1.652
884	celum	17298	62.737	20	15	-1.653
885	absque	4330	15.704	5	5	-1.655
886	quatenus	4354	15.791	5	5	-1.663
887	certus	4360	15.813	5	5	-1.665
888	se	80262	291.098	92	65	-1.665
889	tu	47761	173.222	54	45	-1.685
890	sol	5333	19.342	6	6	-1.692
891	cado	4445	16.121	5	5	-1.693
892	hora	11585	42.017	13	12	-1.696
893	frater	19042	69.063	21	17	-1.721
894	potius	4633	16.803	5	5	-1.752
895	oporteo	5575	20.22	6	6	-1.756
896	filius	50031	181.455	53	41	-1.779
897	uenio	11378	41.266	12	9	-1.786
898	mons	6752	24.489	7	7	-1.81
899	dux1	4842	17.561	5	5	-1.816
900	ideo	14608	52.981	15	15	-1.824
901	placeo	6145	22.287	6	6	-1.897
902	concedo	5214	18.91	5	5	-1.923
903	peccatum	26411	95.789	25	23	-1.942
904	casa	14857	53.884	14	12	-1.948
905	mundus2	15073	54.668	14	13	-1.969
906	credo2	21895	79.41	20	16	-1.993
907	uox	10981	39.827	10	9	-1.998
908	pena	5506	19.969	5	5	-2.002
909	potestas	9926	36	9	8	-2.004
910	ordino	5530	20.057	5	5	-2.008
911	duco	7756	28.13	7	7	-2.011
912	monasterium	10117	36.693	9	8	-2.031
913	prius	6813	24.71	6	4	-2.046
914	suscipio	10308	37.386	9	9	-2.058
915	nascor	7022	25.468	6	6	-2.09
916	oro	5945	21.562	5	5	-2.112
917	ago	19103	69.284	16	15	-2.118
918	ius1	6001	21.765	5	5	-2.126
919	cepio	6008	21.79	5	5	-2.128
920	uirtus	20802	75.446	17	16	-2.154
921	eternus	16006	58.051	13	13	-2.163
922	crux	6277	22.766	5	5	-2.191
923	malus1	7711	27.967	6	6	-2.225
924	uester	24118	87.472	18	15	-2.285
925	meus	41617	150.939	31	22	-2.288
926	oculus	9410	34.129	7	7	-2.29
927	honor	9422	34.172	7	7	-2.292
928	uos	35822	129.921	25	21	-2.382
929	princeps	10481	38.013	7	7	-2.445
930	terra	26620	96.547	17	12	-2.51
931	sedes	9426	34.187	6	5	-2.515
932	iudico	9448	34.267	6	6	-2.518
933	domus	13754	49.884	8	8	-2.645
934	morior	8639	31.332	5	5	-2.652
935	domina	8868	32.163	5	5	-2.69
936	fidelis	12503	45.347	7	7	-2.7
937	semper	14444	52.386	8	8	-2.716
938	diligo	9322	33.81	5	5	-2.762
939	uoluntas	11264	40.853	6	5	-2.772
940	futurus	9511	34.495	5	5	-2.791
941	sine	17513	63.517	9	8	-2.824
942	aqua	10006	36.29	5	5	-2.864
943	caritas	10145	36.794	5	3	-2.884
944	caro2	18153	65.838	6	6	-3.461
